study	Last modified	version	file	link	comment
phs000950	2018-01-04	1	phs000950.v1.pht005970.v1.p1.SEER_Ovarian_FFPE_Subject_Phenotypes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000950/phs000950.v1.p1/pheno_variable_summaries/phs000950.v1.pht005970.v1.p1.SEER_Ovarian_FFPE_Subject_Phenotypes.var_report.xml	This subject phenotype table contains subject IDs, age, and sex.
phs000950	2018-01-04	1	phs000950.v1.pht005969.v1.p1.SEER_Ovarian_FFPE_Sample.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000950/phs000950.v1.p1/pheno_variable_summaries/phs000950.v1.pht005969.v1.p1.SEER_Ovarian_FFPE_Sample.var_report.xml	This data table contains a mapping of study subject IDs to sample IDs. Samples are the final preps submitted for genotyping, sequencing, and/or expression data. For example, if one patient (subject ID) gave one sample, and that sample was processed differently to generate 2 sequencing runs, there would be two rows, both using the same subject ID, but having 2 unique sample IDs. The data table also includes sample aliases and sample use.
phs000950	2018-01-04	1	phs000950.v1.pht005968.v1.p1.SEER_Ovarian_FFPE_Subject.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000950/phs000950.v1.p1/pheno_variable_summaries/phs000950.v1.pht005968.v1.p1.SEER_Ovarian_FFPE_Subject.var_report.xml	The subject consent file includes subject IDs, consent information, subject aliases, and case control status of the subject for ovarian adenocarcinomas.
phs000950	2018-01-04	1	phs000950.v1.pht005971.v1.p1.SEER_Ovarian_FFPE_Sample_Attributes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000950/phs000950.v1.p1/pheno_variable_summaries/phs000950.v1.pht005971.v1.p1.SEER_Ovarian_FFPE_Sample_Attributes.var_report.xml	This sample attributes table contains sample IDs, body type, analyte type, tumor status, histological type, primary tumor, metastasis, or transformed cell line, primary tumor location, and name of the center which conducted sequencing.
phs001366	2018-01-08	1	phs001366.v1.pht006576.v1.p1.SCLC_CTCA_Sample.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001366/phs001366.v1.p1/pheno_variable_summaries/phs001366.v1.pht006576.v1.p1.SCLC_CTCA_Sample.var_report.xml	This data table contains a mapping of study subject IDs to sample IDs. Samples are the final preps submitted for genotyping, sequencing, and/or expression data. For example, if one patient (subject ID) gave one sample, and that sample was processed differently to generate 2 sequencing runs, there would be two rows, both using the same subject ID, but having 2 unique sample IDs. The data table also includes sample use.
phs001366	2018-01-08	1	phs001366.v1.pht006575.v1.p1.SCLC_CTCA_Subject.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001366/phs001366.v1.p1/pheno_variable_summaries/phs001366.v1.pht006575.v1.p1.SCLC_CTCA_Subject.var_report.xml	The subject consent file includes subject IDs and consent information.
phs001366	2018-01-08	1	phs001366.v1.pht006578.v1.p1.SCLC_CTCA_Sample_Attributes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001366/phs001366.v1.p1/pheno_variable_summaries/phs001366.v1.pht006578.v1.p1.SCLC_CTCA_Sample_Attributes.var_report.xml	This sample attributes table contains sample ID, body site where sample was collected, analyte type, tumor status, histological type, and name of the center which conducted sequencing.
phs001366	2018-01-08	1	phs001366.v1.pht006577.v1.p1.SCLC_CTCA_Subject_Phenotypes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001366/phs001366.v1.p1/pheno_variable_summaries/phs001366.v1.pht006577.v1.p1.SCLC_CTCA_Subject_Phenotypes.var_report.xml	This subject phenotype table contains subject ID, age, sex, ethnicity, KPS score, biopsy site, and smoke history.
phs001013	2018-01-17	3	phs001013.v3.pht005309.v3.p2.HVH_Subject.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001013/phs001013.v3.p2/pheno_variable_summaries/phs001013.v3.pht005309.v3.p2.HVH_Subject.var_report.xml	This subject consent file contains subject IDs and consent group information.
phs001013	2018-01-17	3	phs001013.v3.pht005312.v2.p2.HVH_Sample_Attributes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001013/phs001013.v3.p2/pheno_variable_summaries/phs001013.v3.pht005312.v2.p2.HVH_Sample_Attributes.var_report.xml	This sample attributes data table includes body site where sample was collected and analyte type.
phs001013	2018-01-17	3	phs001013.v3.pht005311.v2.p2.HVH_Subject_Phenotypes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001013/phs001013.v3.p2/pheno_variable_summaries/phs001013.v3.pht005311.v2.p2.HVH_Subject_Phenotypes.var_report.xml	This subject phenotype data table includes case control status, index year, race, ethnicity, education, age, sex, height, weight, history of stroke, COPD, asthma, and postmenopausal status, stroke type, venous thrombosis type, echocardiographic measurements at AF onset (n=2 variables; left atrial diameter and ejection fraction &lt;50%), treated diseases (n=3 variables; hypertension, diabetes milletus, and hyperlipidemia), apnea, polysomnography index and events, alcohol use, and smoking status.
phs001013	2018-01-17	3	phs001013.v3.pht005310.v2.p2.HVH_Sample.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001013/phs001013.v3.p2/pheno_variable_summaries/phs001013.v3.pht005310.v2.p2.HVH_Sample.var_report.xml	This subject sample mapping file contains a mapping of study subject IDs to sample IDs. Samples are the final preps submitted for genotyping, sequencing, and/or expression data. For example, if one patient (subject ID) gave one sample, and that sample was processed differently to generate 2 sequencing runs, there would be two rows, both using the same subject ID, but having 2 unique sample IDs. The data table also includes sample use.
phs001305	2018-01-19	1	phs001305.v1.pht007103.v1.p1.conclusionofstudyparticipation.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007103.v1.p1.conclusionofstudyparticipation.var_report.xml	The conclusion of study participation includes entire study completetion, early withdraw, and withdraw reason.
phs001305	2018-01-19	1	phs001305.v1.pht007106.v1.p1.missedivinfusionlog.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007106.v1.p1.missedivinfusionlog.var_report.xml	The missed IV infusion log includes missed prime and continuous infusions, reasons of the missed infusions, IV infusion log,  and start and stop time (hours or minutes) of prime and continuous infusion doses. 
phs001305	2018-01-19	1	phs001305.v1.pht007108.v1.p1.nutrient_data_form.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007108.v1.p1.nutrient_data_form.var_report.xml	The nutrient data table includes protein steady state diet, minimal RDA, height, weight, BMI, age, expected steady state protein intake, and actual protein consumed in admission days 1-7. 
phs001305	2018-01-19	1	phs001305.v1.pht007107.v1.p1.missedoralmedicationlog.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007107.v1.p1.missedoralmedicationlog.var_report.xml	The missed oral medication log includes buphenyl placebo missed doses 1-4, high and low arginine missed doses 1-4, reason of missed doses 1-4, and time (hours or minutes) of doses 1-4.
phs001305	2018-01-19	1	phs001305.v1.pht007111.v1.p1.treatmenttable.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007111.v1.p1.treatmenttable.var_report.xml	The treatment table includes treatment name, sequence number, and ages at treatment start and randomization.
phs001305	2018-01-19	1	phs001305.v1.pht007110.v1.p1.registration.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007110.v1.p1.registration.var_report.xml	The registration table includes participant IDs, status, protocol number, and ages at study start and registration.
phs001305	2018-01-19	1	phs001305.v1.pht007105.v1.p1.fluxendpointdataform.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007105.v1.p1.fluxendpointdataform.var_report.xml	The flux endpoint data includes urea, amino glutamine, carbon arginine, guanidino arginine, citrulline, nitric oxide, and nitrate.
phs001305	2018-01-19	1	phs001305.v1.pht007101.v1.p1.adverse_event.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007101.v1.p1.adverse_event.var_report.xml	The adverse event (AE) table includes AE associations, causality, and ages (in days) at AE follow up, AE submission, study drug start, study drug stop, AE occcurrence, AE report, and AE resolution.
phs001305	2018-01-19	1	phs001305.v1.pht007100.v1.p1.UCDC_5102_Subject.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007100.v1.p1.UCDC_5102_Subject.var_report.xml	The subject consent file includes subject IDs and consent information.
phs001305	2018-01-19	1	phs001305.v1.pht007104.v1.p1.demographics.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007104.v1.p1.demographics.var_report.xml	This demographics table includes participant IDs, ethnicity, gender, race, age at registration, and date of birth not allowed by local institutions IRB ethics committee.
phs001305	2018-01-19	1	phs001305.v1.pht007102.v1.p1.baselinelabdataform.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007102.v1.p1.baselinelabdataform.var_report.xml	The baseline lab data includes results of ALT, AST, alanine, albumin, ammonia, arginine, BUN, bicarbonate, chlorine, citrulline, creatinine, fibrinogen, glutamine, hematocrit, hemoglobin, histidine,iIsoleucine, leucine, lysine, methionine, ornithine, PT, PTT, phenylacetate, phenylacetylglutamine, phenylalanine, phenylbutyrate, potassium, prealbumin, sodium, threonine, total protein, valine, and WBC, other lab test, and pregnancy test.
phs001305	2018-01-19	1	phs001305.v1.pht007109.v1.p1.physicalexam.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001305/phs001305.v1.p1/pheno_variable_summaries/phs001305.v1.pht007109.v1.p1.physicalexam.var_report.xml	This table includes physical examination of head, nose, throat, eyes, ears, lungs, chest, cardiovascular system, abdomen and liver palpation, genitalia and tanner stage, musculoskeletal, skin hair, lymph nodes, general appearance, mental status, motor examination, cranial nerves, height, weight, and occipital frontal circumference.
phs001421	2018-01-25	1	phs001421.v1.pht007025.v1.p1.Uveal_Melanoma_Pathogenesis_Subject.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001421/phs001421.v1.p1/pheno_variable_summaries/phs001421.v1.pht007025.v1.p1.Uveal_Melanoma_Pathogenesis_Subject.var_report.xml	The subject consent file includes subject IDs, consent information, subject aliases, and case control status of the subject for uveal melanoma.
phs001421	2018-01-25	1	phs001421.v1.pht007027.v1.p1.Uveal_Melanoma_Pathogenesis_Subject_Phenotypes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001421/phs001421.v1.p1/pheno_variable_summaries/phs001421.v1.pht007027.v1.p1.Uveal_Melanoma_Pathogenesis_Subject_Phenotypes.var_report.xml	This subject phenotype table contains subject IDs, sex, eye affected by uveal melanoma, whether the tumor involved the ciliary body, the largest tumor basal diameter, thickness of the tumor, whether the tumor invaded extraocular structures, gene expression class, initial treatment, age at the first day of treatment, metastatic status, and whether the subject died of melanoma related causes.
phs001421	2018-01-25	1	phs001421.v1.pht007026.v1.p1.Uveal_Melanoma_Pathogenesis_Sample.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001421/phs001421.v1.p1/pheno_variable_summaries/phs001421.v1.pht007026.v1.p1.Uveal_Melanoma_Pathogenesis_Sample.var_report.xml	This data table contains a mapping of study subject IDs to sample IDs. Samples are the final preps submitted for genotyping, sequencing, and/or expression data. For example, if one patient (subject ID) gave one sample, and that sample was processed differently to generate 2 sequencing runs, there would be two rows, both using the same subject ID, but having 2 unique sample IDs. The data table also includes sample aliases and sample use.
phs001421	2018-01-25	1	phs001421.v1.pht007028.v1.p1.Uveal_Melanoma_Pathogenesis_Sample_Attributes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001421/phs001421.v1.p1/pheno_variable_summaries/phs001421.v1.pht007028.v1.p1.Uveal_Melanoma_Pathogenesis_Sample_Attributes.var_report.xml	This sample attributes table contains sample IDs, body type, analyte type, and tumor status.
phs000577	2018-02-01	1	phs000577.v1.pht007289.v1.p1.rd_8444_1qualityoflif.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007289.v1.p1.rd_8444_1qualityoflif.var_report.xml	Subject ID, form name, form status, visit, visit age, participant cycle number, feeling angry, problems with worrying, problems with taking a bath or shower, problems with getting teased, problems with doing chores around the house, feeling sad or blue, disabilities, problems with participating in sports activity or exercise, feeling afraid or scared, problems with getting along with other children, problems with lifting something heavy, problems with keeping up when playing with other children, problems with keeping up with schoolwork, low energy level, problems with other kids, problems with missing school, having hurts or aches, problems with running, trouble sleeping, and problems with walking of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007268.v1.p1.drugandothertreatment.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007268.v1.p1.drugandothertreatment.var_report.xml	Subject ID, form name, form status, visit, visit age, changes since last visit, chronic medications, hyperammonemic event, list of other drugs used, other drugs, other treatment, and surgical procedures of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007269.v1.p1.eligibility.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007269.v1.p1.eligibility.var_report.xml	Subject ID, form name, form status, visit, visit age, diagnostic inclusion criteria, select type of UCD that is highly likely, exclusion criteria, participant information, and additional information for deceased/historical review of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007265.v1.p1.baselineassessmentform.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007265.v1.p1.baselineassessmentform.var_report.xml	Subject ID, form name, form status, visit, visit age, ADHD, ancillary developmental disabilities and psychiatric disorders, biochemical and diagnostic testing, diagnosis, growth chart, historical education information, medications taken chronically, medical history by system details, neurological evaluation, normal spontaneous vaginal delivery, onset, past hyperammonemic events, participant at birth: (at baseline visit only), psychological testing, treatment summary, and vaccine records of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007264.v1.p1.ae_mro_review.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007264.v1.p1.ae_mro_review.var_report.xml	Subject ID, form name, form status, visit, visit age, participant cycle number, adverse event information, causality by reviewer, data management coordinating center, patient outcome, and recommended changes to the consent form of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007263.v1.p1.adverse_event.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007263.v1.p1.adverse_event.var_report.xml	Subject ID, form status, visit, participant cycle number, reasons for follow up, adverse event evaluation ID, adverse event associations, adverse event resolution, adverse event initial, causality by reviewer, reaction after stopping drug, patient outcome, primary or secondary event, study drug start or stop, adverse event occurrence, adverse event submission, category, term, select terms, severity index, causality by reporter, serious event, and adverse event associations of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007274.v1.p1.medicalrecordreviewform.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007274.v1.p1.medicalrecordreviewform.var_report.xml	Subject ID, form name, form status, visit, visit age, argininiosuccinic acid in blood or urine, enzyme activity in cultured skin fibroblasts, deficiency of argininosuccinic aciduria, pathogenic mutation in the AL, ARG, citrin, CPS, ORNT1, NAGS, OTC, and AS genes, arginine in blood, Arginase enzyme level in red blood cells, AS, CPS, ORNT, AL, ARG, AS, CPS I,  NAGS, OTC, ARG, NAGS, UCD and CITR deficiency, biochemical evidence, hyperammonemia, CPS I, NAGS and OTC enzyme activity in liver, education, deceased ethnicity, deceased gender, deceased race, age at diagnosis, comorbidity details, hyperammonemia details,  birth weight, gestational age, plasma ornithine, homocitrulline in urine, mitochondrial disorders, mutation, OTC pedigree analysis, treatment, treatment age, ornithine incorporation into protein in cultured fibroblasts, reference,  residual enzyme activity, Down syndrome, HHH syndrome, glutamine value, and reported condition  of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007270.v1.p1.enrollment_demographics.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007270.v1.p1.enrollment_demographics.var_report.xml	Subject ID, form name, form status, visit, visit age, age at consent, gender, race, employment status, ethnicity, education, health information, industry, individuals in household, neuropsychological testing, NIGMS Human Genetic Cell Repository at Coriell, occupation, parent employment status, participant information, parent ethnicity, parent family annual income, parent gender, parent industry, parent occupation, parent primary language, parent race, parent relationship, parent education, and relationship to registrant of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007272.v1.p1.laboratoryform.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007272.v1.p1.laboratoryform.var_report.xml	Subject ID, form name, form status, visit, visit age, assessment, lab draw age, amino acid, alternate pathway medications, CBC, coagulation, electrolytes, hyperammonemic event, urine tests and other lab tests of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007287.v1.p1.physical_examination_form.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007287.v1.p1.physical_examination_form.var_report.xml	Subject ID, form name, form status, visit, visit age, physical exam, and neurological exam of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007271.v1.p1.interimeventform.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007271.v1.p1.interimeventform.var_report.xml	Subject ID, form name, form status, visit, visit age, visit type, alkaline phosphatase, ALT, AST, ammonia, bilirubin, contraceptive pills, family income, family member relation, hyperammonemic episode data, information about episode, medical complications, menstrual cycle, oral ammonia scavengers, PT, PTT, reason for visit, treatment, and unscheduled clinic visits/hospitalizations/ER visits of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007286.v1.p1.pedsql4_core_parent_child_5_7.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007286.v1.p1.pedsql4_core_parent_child_5_7.var_report.xml	Subject ID, form name, form status, visit, visit age, participant cycle number, problems with feeling angry, problems with worrying, problems with taking a bath or shower, problems with getting teased, problems with doing chores, problems with feeling sad or blue, problems with not being able to do things, problems with participating in sports activity or exercise, problems with feeling afraid, problems with forgetting things, problems with getting along, problems with lifting, problems with keeping up when playing, problems with keeping up with schoolwork,  problems with low energy level, problems with other kids, problems with missing school to go to the doctor or hospital, problems with missing school, problems with having hurts or aches, problems with paying attention in class,  problems with running, trouble with sleeping, and problems with walking more than one block of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007290.v1.p1.registration.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007290.v1.p1.registration.var_report.xml	Subject ID, RDCRN protocol number, age at registration, age at study start and status of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project. 
phs000577	2018-02-01	1	phs000577.v1.pht007291.v1.p1.sf_36.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007291.v1.p1.sf_36.var_report.xml	Subject ID, form name, form status, visit, visit age, participant cycle number, feel full of life, get sick easier than other people, to work less, to be a very nervous, to be healthy as anybody around, accomplished less than you would like, work less carefully than usual, expect health to get worse, lifting or carrying groceries, difficulty performing work, felt calm and peaceful, health is excellent, to have a lot of energy, felt downhearted and depressed, walking more than a mile, feel worn out, to be happy, walking several hundred yards, feel tired, bathing or dressing yourself, rate health in general, physical health or emotional problems, and body pain  of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
phs000577	2018-02-01	1	phs000577.v1.pht007285.v1.p1.pedsql4_core_child_5_7.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000577/phs000577.v1.p1/pheno_variable_summaries/phs000577.v1.pht007285.v1.p1.pedsql4_core_child_5_7.var_report.xml	Subject ID, form name, form status, visit, visit age, problems with feeling angry, problems with worrying, problems with taking a bath or shower, problems with getting teased, problems with doing chores, Problems with feeling sad or blue, problems with not being able to do things, problems with participating in sports activity or exercise, problems with feeling afraid or scared, problems with forgetting things, problems with getting along with other children,  problems with lifting something heavy, hurts or aches, problems with keeping up when playing with other children, problems with keeping up with schoolwork, problems with low energy level, problems with other kids, problems with missing school, problems with paying attention in class, problems with running, trouble sleeping, and problems with walking more than one block of participants with or without urea cycle disorders and involved in the &quot;Longitudinal Study of Urea Cycle Disorders&quot; project.
