"dataset_id"	"male"	"female"	"unknown"	"total"	"date_study"	"repository"	"year"	"total_all"	"label"	"c"
"85"	"EGAS00001000096"	0	0	4	4	2011-08-05	"EGA"	"2011"	149	"U"	1
"86"	"EGAS00001000097"	0	0	78	78	2011-08-09	"EGA"	"2011"	149	"U"	1
"87"	"EGAS00001000098"	0	0	174	174	2011-08-09	"EGA"	"2011"	149	"U"	1
"88"	"EGAS00001000099"	0	0	3	3	2011-08-11	"EGA"	"2011"	149	"U"	1
"89"	"EGAS00001000100"	0	0	8	8	2011-08-11	"EGA"	"2011"	149	"U"	1
"90"	"EGAS00001000101"	0	0	526	526	2011-08-16	"EGA"	"2011"	149	"U"	1
"91"	"EGAS00001000102"	0	0	189	189	2011-08-17	"EGA"	"2011"	149	"U"	1
"92"	"EGAS00001000103"	0	0	355	355	2011-08-17	"EGA"	"2011"	149	"U"	1
"93"	"EGAS00001000104"	0	0	5	5	2011-08-17	"EGA"	"2011"	149	"U"	1
"94"	"EGAS00001000105"	0	0	11	11	2011-08-17	"EGA"	"2011"	149	"U"	1
"95"	"EGAS00001000106"	0	0	6	6	2011-08-17	"EGA"	"2011"	149	"U"	1
"96"	"EGAS00001000107"	0	0	7	7	2011-08-17	"EGA"	"2011"	149	"U"	1
"97"	"EGAS00001000108"	0	0	9202	9202	2011-08-18	"EGA"	"2011"	149	"U"	1
"98"	"EGAS00001000109"	0	0	1052	1052	2011-08-18	"EGA"	"2011"	149	"U"	1
"99"	"EGAS00001000110"	0	0	338	338	2011-08-18	"EGA"	"2011"	149	"U"	1
"100"	"EGAS00001000111"	0	0	212	212	2011-08-18	"EGA"	"2011"	149	"U"	1
"101"	"EGAS00001000112"	0	0	224	224	2011-08-18	"EGA"	"2011"	149	"U"	1
"102"	"EGAS00001000113"	0	0	253	253	2011-08-18	"EGA"	"2011"	149	"U"	1
"103"	"EGAS00001000114"	0	0	966	966	2011-08-18	"EGA"	"2011"	149	"U"	1
"104"	"EGAS00001000115"	0	0	157	157	2011-08-18	"EGA"	"2011"	149	"U"	1
"105"	"EGAS00001000117"	0	0	667	667	2011-08-18	"EGA"	"2011"	149	"U"	1
"106"	"EGAS00001000118"	0	0	487	487	2011-08-18	"EGA"	"2011"	149	"U"	1
"107"	"EGAS00001000119"	0	0	1097	1097	2011-08-18	"EGA"	"2011"	149	"U"	1
"108"	"EGAS00001000120"	0	0	338	338	2011-08-18	"EGA"	"2011"	149	"U"	1
"109"	"EGAS00001000121"	0	0	500	500	2011-08-18	"EGA"	"2011"	149	"U"	1
"110"	"EGAS00001000122"	0	0	779	779	2011-08-18	"EGA"	"2011"	149	"U"	1
"111"	"EGAS00001000123"	0	0	1771	1771	2011-08-18	"EGA"	"2011"	149	"U"	1
"112"	"EGAS00001000124"	0	0	3320	3320	2011-08-18	"EGA"	"2011"	149	"U"	1
"113"	"EGAS00001000125"	0	0	465	465	2011-08-18	"EGA"	"2011"	149	"U"	1
"114"	"EGAS00001000126"	0	0	564	564	2011-08-18	"EGA"	"2011"	149	"U"	1
"115"	"EGAS00001000127"	0	0	536	536	2011-08-18	"EGA"	"2011"	149	"U"	1
"116"	"EGAS00001000128"	0	0	1660	1660	2011-08-18	"EGA"	"2011"	149	"U"	1
"117"	"EGAS00001000129"	0	0	452	452	2011-08-18	"EGA"	"2011"	149	"U"	1
"118"	"EGAS00001000130"	0	0	416	416	2011-08-18	"EGA"	"2011"	149	"U"	1
"119"	"EGAS00001000131"	0	0	396	396	2011-08-18	"EGA"	"2011"	149	"U"	1
"120"	"EGAS00001000132"	0	0	328	328	2011-08-18	"EGA"	"2011"	149	"U"	1
"121"	"EGAS00001000133"	0	0	46	46	2011-08-22	"EGA"	"2011"	149	"U"	1
"122"	"EGAS00001000134"	0	0	7	7	2011-08-25	"EGA"	"2011"	149	"U"	1
"123"	"EGAS00001000191"	0	0	6	6	2011-08-26	"EGA"	"2011"	149	"U"	1
"124"	"EGAS00001000136"	0	0	27	27	2011-09-01	"EGA"	"2011"	149	"U"	1
"125"	"EGAS00001000137"	0	0	394	394	2011-09-06	"EGA"	"2011"	149	"U"	1
"126"	"EGAS00001000138"	0	0	7	7	2011-09-08	"EGA"	"2011"	149	"U"	1
"127"	"EGAS00001000139"	0	0	1	1	2011-09-08	"EGA"	"2011"	149	"U"	1
"128"	"EGAS00001000140"	0	0	22	22	2011-09-09	"EGA"	"2011"	149	"U"	1
"129"	"EGAS00001000142"	0	0	9	9	2011-09-20	"EGA"	"2011"	149	"U"	1
"130"	"EGAS00001000145"	0	0	25	25	2011-09-21	"EGA"	"2011"	149	"U"	1
"131"	"EGAS00001000146"	0	0	6	6	2011-09-23	"EGA"	"2011"	149	"U"	1
"132"	"EGAS00001000148"	0	0	38	38	2011-09-27	"EGA"	"2011"	149	"U"	1
"133"	"EGAS00001000149"	0	0	46	46	2011-09-30	"EGA"	"2011"	149	"U"	1
"134"	"EGAS00001000151"	0	0	247	247	2011-09-30	"EGA"	"2011"	149	"U"	1
"135"	"EGAS00001000152"	0	0	4	4	2011-10-03	"EGA"	"2011"	149	"U"	1
"136"	"EGAS00001000153"	0	0	43	43	2011-10-04	"EGA"	"2011"	149	"U"	1
"137"	"EGAS00001000155"	0	0	36	36	2011-10-13	"EGA"	"2011"	149	"U"	1
"138"	"EGAS00001000156"	0	0	10	10	2011-10-19	"EGA"	"2011"	149	"U"	1
"139"	"EGAS00001000157"	0	0	10	10	2011-10-19	"EGA"	"2011"	149	"U"	1
"140"	"EGAS00001000158"	0	0	2	2	2011-10-20	"EGA"	"2011"	149	"U"	1
"141"	"EGAS00001000159"	0	0	30	30	2011-10-25	"EGA"	"2011"	149	"U"	1
"142"	"EGAS00001000160"	0	0	82	82	2011-10-25	"EGA"	"2011"	149	"U"	1
"143"	"EGAS00001000161"	0	0	200	200	2011-10-27	"EGA"	"2011"	149	"U"	1
"144"	"EGAS00001000162"	0	0	731	731	2011-11-02	"EGA"	"2011"	149	"U"	1
"145"	"EGAS00001000163"	0	0	102	102	2011-11-02	"EGA"	"2011"	149	"U"	1
"146"	"EGAS00001000164"	0	0	125	125	2011-11-04	"EGA"	"2011"	149	"U"	1
"147"	"EGAS00001000165"	0	0	63	63	2011-11-14	"EGA"	"2011"	149	"U"	1
"148"	"EGAS00001000166"	0	0	93	93	2011-11-14	"EGA"	"2011"	149	"U"	1
"149"	"EGAS00001000167"	0	0	86	86	2011-11-15	"EGA"	"2011"	149	"U"	1
"150"	"EGAS00001000169"	0	0	6	6	2011-11-29	"EGA"	"2011"	149	"U"	1
"151"	"EGAS00001000170"	0	0	294	294	2011-11-29	"EGA"	"2011"	149	"U"	1
"152"	"EGAS00001000171"	0	0	14	14	2011-11-30	"EGA"	"2011"	149	"U"	1
"153"	"EGAS00001000172"	0	0	3	3	2011-11-30	"EGA"	"2011"	149	"U"	1
"154"	"EGAS00001000173"	0	0	32	32	2011-11-30	"EGA"	"2011"	149	"U"	1
"155"	"EGAS00001000174"	0	0	17	17	2011-11-30	"EGA"	"2011"	149	"U"	1
"156"	"EGAS00001000175"	0	0	67	67	2011-11-30	"EGA"	"2011"	149	"U"	1
"157"	"EGAS00001000176"	0	0	16	16	2011-11-30	"EGA"	"2011"	149	"U"	1
"158"	"EGAS00001000177"	0	0	26	26	2011-11-30	"EGA"	"2011"	149	"U"	1
"159"	"EGAS00001000178"	0	0	18	18	2011-11-30	"EGA"	"2011"	149	"U"	1
"160"	"EGAS00001000179"	0	0	10	10	2011-11-30	"EGA"	"2011"	149	"U"	1
"161"	"EGAS00001000180"	0	0	5	5	2011-11-30	"EGA"	"2011"	149	"U"	1
"162"	"EGAS00001000181"	0	0	60	60	2011-11-30	"EGA"	"2011"	149	"U"	1
"163"	"EGAS00001000185"	0	0	167	167	2011-12-09	"EGA"	"2011"	149	"U"	1
"164"	"EGAS00001000187"	0	0	48	48	2011-12-09	"EGA"	"2011"	149	"U"	1
"165"	"EGAS00001000188"	0	0	68	68	2011-12-14	"EGA"	"2011"	149	"U"	1
"166"	"EGAS00001000189"	0	0	95	95	2011-12-19	"EGA"	"2011"	149	"U"	1
"167"	"EGAS00001000190"	0	0	327	327	2012-01-03	"EGA"	"2012"	162	"U"	1
"168"	"EGAS00001000135"	0	0	36	36	2012-01-04	"EGA"	"2012"	162	"U"	1
"169"	"EGAS00001000192"	0	0	2609	2609	2012-01-04	"EGA"	"2012"	162	"U"	1
"170"	"EGAS00001000193"	0	0	173	173	2012-01-09	"EGA"	"2012"	162	"U"	1
"171"	"EGAS00001000194"	0	0	7	7	2012-01-09	"EGA"	"2012"	162	"U"	1
"172"	"EGAS00001000196"	0	0	301	301	2012-01-12	"EGA"	"2012"	162	"U"	1
"173"	"EGAS00001000197"	0	0	205	205	2012-01-12	"EGA"	"2012"	162	"U"	1
"174"	"EGAS00001000198"	0	0	6	6	2012-01-12	"EGA"	"2012"	162	"U"	1
"175"	"EGAS00001000199"	0	0	4	4	2012-01-12	"EGA"	"2012"	162	"U"	1
"176"	"EGAS00001000200"	0	0	214	214	2012-01-12	"EGA"	"2012"	162	"U"	1
"177"	"EGAS00001000201"	0	0	137	137	2012-01-12	"EGA"	"2012"	162	"U"	1
"178"	"EGAS00001000202"	0	0	3	3	2012-01-12	"EGA"	"2012"	162	"U"	1
"179"	"EGAS00001000203"	0	0	4	4	2012-01-12	"EGA"	"2012"	162	"U"	1
"180"	"EGAS00001000205"	0	0	1	1	2012-01-12	"EGA"	"2012"	162	"U"	1
"181"	"EGAS00001000206"	0	0	257	257	2012-01-12	"EGA"	"2012"	162	"U"	1
"182"	"EGAS00001000207"	0	0	21	21	2012-01-12	"EGA"	"2012"	162	"U"	1
"183"	"EGAS00001000208"	0	0	16	16	2012-01-12	"EGA"	"2012"	162	"U"	1
"184"	"EGAS00001000209"	0	0	18	18	2012-01-12	"EGA"	"2012"	162	"U"	1
"185"	"EGAS00001000210"	0	0	55	55	2012-01-13	"EGA"	"2012"	162	"U"	1
"186"	"EGAS00001000211"	0	0	391	391	2012-01-13	"EGA"	"2012"	162	"U"	1
"187"	"EGAS00001000212"	0	0	130	130	2012-01-13	"EGA"	"2012"	162	"U"	1
"188"	"EGAS00001000213"	0	0	2356	2356	2012-01-25	"EGA"	"2012"	162	"U"	1
"189"	"EGAS00001000214"	0	0	12	12	2012-01-27	"EGA"	"2012"	162	"U"	1
"190"	"EGAS00001000216"	0	0	43	43	2012-01-31	"EGA"	"2012"	162	"U"	1
"191"	"EGAS00001000217"	0	0	48	48	2012-02-01	"EGA"	"2012"	162	"U"	1
"192"	"EGAS00001000218"	0	0	6	6	2012-02-01	"EGA"	"2012"	162	"U"	1
"193"	"EGAS00001000220"	0	0	6	6	2012-02-03	"EGA"	"2012"	162	"U"	1
"194"	"EGAS00001000222"	0	0	628	628	2012-02-03	"EGA"	"2012"	162	"U"	1
"195"	"EGAS00001000224"	0	0	764	764	2012-02-06	"EGA"	"2012"	162	"U"	1
"196"	"EGAS00001000225"	0	0	137	137	2012-02-10	"EGA"	"2012"	162	"U"	1
"197"	"EGAS00001000226"	0	0	54	54	2012-02-10	"EGA"	"2012"	162	"U"	1
"198"	"EGAS00001000228"	0	0	4	4	2012-02-13	"EGA"	"2012"	162	"U"	1
"199"	"EGAS00001000229"	0	0	966	966	2012-02-13	"EGA"	"2012"	162	"U"	1
"200"	"EGAS00001000230"	0	0	6	6	2012-02-14	"EGA"	"2012"	162	"U"	1
"201"	"EGAS00001000231"	0	0	28	28	2012-02-15	"EGA"	"2012"	162	"U"	1
"202"	"EGAS00001000233"	0	0	20	20	2012-02-24	"EGA"	"2012"	162	"U"	1
"203"	"EGAS00001000240"	0	0	86	86	2012-03-01	"EGA"	"2012"	162	"U"	1
"204"	"EGAS00001000242"	0	0	1287	1287	2012-03-01	"EGA"	"2012"	162	"U"	1
"205"	"EGAS00001000243"	0	0	106	106	2012-03-12	"EGA"	"2012"	162	"U"	1
"206"	"EGAS00001000244"	0	0	51	51	2012-03-12	"EGA"	"2012"	162	"U"	1
"207"	"EGAS00001000245"	0	0	2	2	2012-03-13	"EGA"	"2012"	162	"U"	1
"208"	"EGAS00001000246"	0	0	2392	2392	2012-03-14	"EGA"	"2012"	162	"U"	1
"209"	"EGAS00001000250"	0	0	4	4	2012-03-16	"EGA"	"2012"	162	"U"	1
"210"	"EGAS00001000251"	0	0	22	22	2012-03-16	"EGA"	"2012"	162	"U"	1
"211"	"EGAS00001000252"	0	0	199	199	2012-03-16	"EGA"	"2012"	162	"U"	1
"212"	"EGAS00001000253"	0	0	2261	2261	2012-03-20	"EGA"	"2012"	162	"U"	1
"213"	"EGAS00001000254"	0	0	2401	2401	2012-03-20	"EGA"	"2012"	162	"U"	1
"214"	"EGAS00001000255"	0	0	1627	1627	2012-03-20	"EGA"	"2012"	162	"U"	1
"215"	"EGAS00001000257"	0	0	2339	2339	2012-03-20	"EGA"	"2012"	162	"U"	1
"216"	"EGAS00001000260"	0	0	4	4	2012-03-22	"EGA"	"2012"	162	"U"	1
"217"	"EGAS00001000261"	0	0	2	2	2012-03-22	"EGA"	"2012"	162	"U"	1
"218"	"EGAS00001000263"	0	0	2321	2321	2012-03-26	"EGA"	"2012"	162	"U"	1
"219"	"EGAS00001000264"	0	0	2	2	2012-03-26	"EGA"	"2012"	162	"U"	1
"220"	"EGAS00001000266"	0	0	58	58	2012-03-26	"EGA"	"2012"	162	"U"	1
"221"	"EGAS00001000267"	0	0	3	3	2012-03-26	"EGA"	"2012"	162	"U"	1
"222"	"EGAS00001000268"	0	0	33	33	2012-03-29	"EGA"	"2012"	162	"U"	1
"223"	"EGAS00001000269"	0	0	8	8	2012-03-29	"EGA"	"2012"	162	"U"	1
"224"	"EGAS00001000271"	0	0	81	81	2012-04-17	"EGA"	"2012"	162	"U"	1
"225"	"EGAS00001000272"	0	0	6	6	2012-04-17	"EGA"	"2012"	162	"U"	1
"226"	"EGAS00001000274"	0	0	4	4	2012-04-23	"EGA"	"2012"	162	"U"	1
"227"	"EGAS00001000275"	0	0	2736	2736	2012-04-25	"EGA"	"2012"	162	"U"	1
"228"	"EGAS00001000276"	0	0	29	29	2012-04-26	"EGA"	"2012"	162	"U"	1
"229"	"EGAS00001000278"	0	0	110	110	2012-05-02	"EGA"	"2012"	162	"U"	1
"230"	"EGAS00001000280"	0	0	46	46	2012-05-02	"EGA"	"2012"	162	"U"	1
"231"	"EGAS00001000282"	0	0	147	147	2012-05-02	"EGA"	"2012"	162	"U"	1
"232"	"EGAS00001000283"	0	0	24	24	2012-05-15	"EGA"	"2012"	162	"U"	1
"233"	"EGAS00001000285"	0	0	54	54	2012-05-30	"EGA"	"2012"	162	"U"	1
"234"	"EGAS00001000287"	0	0	627	627	2012-05-30	"EGA"	"2012"	162	"U"	1
"235"	"EGAS00001000288"	0	0	294	294	2012-05-31	"EGA"	"2012"	162	"U"	1
"236"	"EGAS00001000289"	0	0	5	5	2012-06-08	"EGA"	"2012"	162	"U"	1
"237"	"EGAS00001000291"	0	0	83	83	2012-06-08	"EGA"	"2012"	162	"U"	1
"238"	"EGAS00001000292"	0	0	1671	1671	2012-06-15	"EGA"	"2012"	162	"U"	1
"239"	"EGAS00001000293"	0	0	1	1	2012-06-15	"EGA"	"2012"	162	"U"	1
"240"	"EGAS00001000295"	0	0	20	20	2012-06-18	"EGA"	"2012"	162	"U"	1
"241"	"EGAS00001000296"	0	0	128	128	2012-06-18	"EGA"	"2012"	162	"U"	1
"242"	"EGAS00001000297"	0	0	81	81	2012-06-18	"EGA"	"2012"	162	"U"	1
"243"	"EGAS00001000299"	0	0	44	44	2012-06-20	"EGA"	"2012"	162	"U"	1
"244"	"EGAS00001000300"	0	0	135	135	2012-06-21	"EGA"	"2012"	162	"U"	1
"245"	"EGAS00001000301"	0	0	12	12	2012-06-21	"EGA"	"2012"	162	"U"	1
"246"	"EGAS00001000305"	0	0	7	7	2012-06-26	"EGA"	"2012"	162	"U"	1
"247"	"EGAS00001000306"	0	0	136	136	2012-06-26	"EGA"	"2012"	162	"U"	1
"248"	"EGAS00001000308"	0	0	485	485	2012-06-27	"EGA"	"2012"	162	"U"	1
"249"	"EGAS00001000310"	0	0	95	95	2012-06-28	"EGA"	"2012"	162	"U"	1
"250"	"EGAS00001000315"	0	0	7	7	2012-07-10	"EGA"	"2012"	162	"U"	1
"251"	"EGAS00001000317"	0	0	95	95	2012-07-17	"EGA"	"2012"	162	"U"	1
"252"	"EGAS00001000318"	0	0	28	28	2012-07-17	"EGA"	"2012"	162	"U"	1
"253"	"EGAS00001000322"	0	0	9	9	2012-07-19	"EGA"	"2012"	162	"U"	1
"254"	"EGAS00001000323"	0	0	2	2	2012-07-19	"EGA"	"2012"	162	"U"	1
"255"	"EGAS00001000328"	0	0	2	2	2012-08-08	"EGA"	"2012"	162	"U"	1
"256"	"EGAS00001000330"	0	0	3	3	2012-08-09	"EGA"	"2012"	162	"U"	1
"257"	"EGAS00001000332"	0	0	6	6	2012-08-09	"EGA"	"2012"	162	"U"	1
"258"	"EGAS00001000333"	0	0	4	4	2012-08-09	"EGA"	"2012"	162	"U"	1
"259"	"EGAS00001000334"	0	0	186	186	2012-08-09	"EGA"	"2012"	162	"U"	1
"260"	"EGAS00001000335"	0	0	78	78	2012-08-10	"EGA"	"2012"	162	"U"	1
"261"	"EGAS00001000336"	0	0	193	193	2012-08-13	"EGA"	"2012"	162	"U"	1
"262"	"EGAS00001000337"	0	0	13	13	2012-08-14	"EGA"	"2012"	162	"U"	1
"263"	"EGAS00001000343"	0	0	14	14	2012-08-22	"EGA"	"2012"	162	"U"	1
"264"	"EGAS00001000344"	0	0	8	8	2012-08-23	"EGA"	"2012"	162	"U"	1
"265"	"EGAS00001000346"	0	0	1391	1391	2012-08-24	"EGA"	"2012"	162	"U"	1
"266"	"EGAS00001000347"	0	0	1481	1481	2012-08-24	"EGA"	"2012"	162	"U"	1
"267"	"EGAS00001000348"	0	0	2305	2305	2012-08-24	"EGA"	"2012"	162	"U"	1
"268"	"EGAS00001000349"	0	0	2640	2640	2012-08-24	"EGA"	"2012"	162	"U"	1
"269"	"EGAS00001000352"	0	0	28	28	2012-08-29	"EGA"	"2012"	162	"U"	1
"270"	"EGAS00001000353"	0	0	232	232	2012-08-31	"EGA"	"2012"	162	"U"	1
"271"	"EGAS00001000354"	0	0	15	15	2012-08-31	"EGA"	"2012"	162	"U"	1
"272"	"EGAS00001000356"	0	0	16	16	2012-09-04	"EGA"	"2012"	162	"U"	1
"273"	"EGAS00001000359"	0	0	4	4	2012-09-05	"EGA"	"2012"	162	"U"	1
"274"	"EGAS00001000360"	0	0	3	3	2012-09-07	"EGA"	"2012"	162	"U"	1
"275"	"EGAS00001000362"	0	0	20	20	2012-09-07	"EGA"	"2012"	162	"U"	1
"276"	"EGAS00001000367"	0	0	47	47	2012-10-02	"EGA"	"2012"	162	"U"	1
"277"	"EGAS00001000368"	0	0	406	406	2012-10-05	"EGA"	"2012"	162	"U"	1
"278"	"EGAS00001000369"	0	0	114	114	2012-10-08	"EGA"	"2012"	162	"U"	1
"279"	"EGAS00001000370"	0	0	3	3	2012-10-08	"EGA"	"2012"	162	"U"	1
"280"	"EGAS00001000373"	0	0	10	10	2012-10-11	"EGA"	"2012"	162	"U"	1
"281"	"EGAS00001000374"	0	0	168	168	2012-10-11	"EGA"	"2012"	162	"U"	1
"282"	"EGAS00001000377"	0	0	203	203	2012-10-18	"EGA"	"2012"	162	"U"	1
