study_id,phenotype,label,total,title
phs001742.v2.p1,Triple Negative Breast Neoplasms,F,113,"High-Resolution Clonal Mapping of Multi-Organ Metastasis, and Resistance to Neoadjuvant Chemotherapy, in Triple Negative Breast Cancer"
phs001865.v1.p1,,F,552,"Emory University African American Vaginal, Oral, and Gut Microbiome in Pregnancy Cohort Study"
phs001866.v1.p1,Breast Neoplasms,F,166,RNA Sequence-Based Analysis Used to Compare Breast Primary and Metastatic Tumor Pairs
phs001870.v1.p1,Breast Neoplasms,F,340,Genomic Changes in Breast Cancer Among Chinese Women in Hong Kong
phs001885.v1.p1,Endometrial Neoplasms,F,4486,Endometrial Cancer Association Consortium - OncoArray Genotypes
phs001916.v2.p1,Healthy Aging,F,100,Pilot Sequencing Study: DNA Hydroxymethylation and Gene Expression in Peripheral Blood Mononuclear Cells in Healthy Human Aging
phs001922.v1.p1,Aneuploidy,F,339,Chromosome Errors in Human Eggs and Natural Fertility
phs001937.v1.p1,Pre-Eclampsia,F,189,DNA Methylomic Profiling of Preeclampsia Across Pregnancy
phs001960.v1.p1,Osteoporosis,F,143,Epigenome Wide DNA Methylation Study for Osteoporosis Risk
phs002017.v1.p1,Pre-Eclampsia,F,289,Circulating RNA profiles of healthy and preeclamptic pregnancies
phs002060.v1.p1,Peripheral Nervous System Diseases,F,624,Pharmacogenomic Analysis of Microtubule Targeting Agent Response and Toxicity
phs002062.v1.p1,Breast Neoplasms,F,1089,Polygenic Risk Score for the Prediction of Breast Cancer Is Related to Lesser Terminal Duct Lobular Unit Involution of the Breast
phs002366.v1.p1,Lung Neoplasms,F,1195,
phs002387.v1.p1,Breast Neoplasms,F,2529,Ghana Breast Health Study
phs002419.v1.p1,Breast Neoplasms,F,159,Integrative Molecular Characterization of Breast Cancer
