ega_stable_id,label,total,title
EGAS00001003705,F,224,Multi-layered molecular characterization defines prognostic subtypes of lung adenocarcinoma in Asian never-smokers
EGAS00001003789,F,220,&#39;KOREAN&#39; never-smoker female adenocarcinoma RNA-seq
EGAS00001004235,F,516,Exome sequencing of familial high-grade serous ovarian carcinoma reveals heterogeneity for rare candidate susceptibility genes
EGAS00001004366,F,112,Molecular stratification of endometrioid ovarian carcinoma predicts clinical outcome
EGAS00001004327,F,1782,"METABRIC: Data from Batra et al (2021); DNA methylation landscapes of 1538 breast cancers reveal a replication-linked clock, epigenomic instability and cis-regulation"
EGAS00001004356,F,154,Phylogenetic reconstruction of breast cancer
EGAS00001004408,F,576,Search for genetic variants influencing gestational weight gain in type 1 diabetes patients by genome wide association method
EGAS00001004499,F,3457,"Uterine leiomyoma: DNA methylation, chromatin activity and gene expression"
EGAS00001004518,F,2235,The Molecular Landscape of Asian Breast Cancers Reveals Clinically Relevant Population-Specific Differences
EGAS00001004582,F,672,TransNEO neoadjuvant breast cancer study
EGAS00001004594,F,612,Molecular sub-classification of hormone receptor-positive breast cancer
EGAS00001004630,F,106,"Targeted sequencing of breast cancer susceptibility genes for 1,995 Japanese breast cancer patients"
EGAS00001004641,F,730,Characterization of stromal tumor-infiltrating lymphocytes and genomic alterations in metastatic lobular breast cancer
EGAS00001004662,F,516,Chromothripsis in human breast cancer (HIPO K26K/H017/A017)
EGAS00001004665,F,196,Human breast transcriptome analysis
EGAS00001004670,F,289,Copy number profiling of circulating cell-free DNA from high grade serous ovarian cancer patients
EGAS00001004714,F,212,Transcriptome Sequencing Data of High Grade Serous Ovarian Cancer
EGAS00001004755,F,710,"Rucaparib in patients presenting a metastatic breast cancer with Homologous Recombination Deficiency, without germline BRCA1/2 mutation, pronostic value of high LOH genomic score and predictive value of HRDetect (microarray)"
EGAS00001004809,F,159,BIOKEY: A single-cell catalogue of the dynamic changes underlying Checkpoint Immunotherapy response in Early Breast Cancer
EGAS00001004890,F,130,Impact of BRCA mutation type in non-tumorous breast tissue transcriptome
EGAS00001004900,F,158,Single-cell chromatin accessibility landscape identifies tissue repair program in human regulatory T cells
EGAS00001004935,F,118,Single Cell Dissection of the Tumour Microenvironment Reveals Dynamic Interplay Shaping the Tumour Immunity Continuum in Ovarian Cancer
EGAS00001004994,F,192,Somatic mutations in lymphocytes in patients with immune-mediated aplastic anemia
EGAS00001005033,F,281,The WID-EC test for the detection and risk prediction of endometrial cancer
EGAS00001005070,F,133,Breast tissue methylation analysis
EGAS00001005076,F,424,Liverpool Preterm Birth Biomarker Study
EGAS00001005188,F,182,Platelet response in aspirin adherent pregnant women
EGAS00001005323,F,1092,Systematic evaluation of NIPT aneuploidy detection software tools with clinically validated NIPT samples
EGAS00001005517,F,1440,Differential expression profile of gluten-specific T cells identified by single-cell RNA-seq
EGAS00001005601,F,350,Absolute copy number fitting from shallow whole genome sequencing data
EGAS00001005626,F,688,Matched tissue from BRCA1/2 mutation carriers and confirmed non-BRCA mutation carriers
