male	max_count	median	date	n	mean	min_count	filename	nulls	mean_count	sd	female	min	other	median_count	max	study accession	primary phenotype
			2020/02/14				./data/phs000575.v2.pht009884.v1.p1.adverse_event.var_report.xml									phs000575.v2.p1	Prader-Willi Syndrome
			07/27/2017				./data/phs000247.v5.pht001286.v4.p3.HMP_Neonatal_Enterocolitis_Subject_Baseline_Phenotypes.var_report.xml									phs000247.v5.p3	Enterocolitis, Necrotizing
			2018/10/24				./data/phs001694.v1.pht008495.v1.p1.HIV_CSF_Sample_Attributes.var_report.xml									phs001694.v1.p1	MicroRNAs
1683.0	5862.0		05/16/2017	9552.0		3690.0	./data/phs001252.v1.pht006369.v1.p1.bioimped.var_report.xml	0.0	4776.0	1536	1050.0			4776.0		phs001252.v1.p1	Pulmonary Disease, Chronic Obstructive
856.0	856.0		2020/11/30	1323.0		467.0	./data/phs002283.v1.pht010682.v1.p1.Selenium_Chemoprevention_Subject.var_report.xml	0.0	661.5	275.1	467.0			661.5		phs002283.v1.p1	
			2020/03/13				./data/phs000521.v2.pht007036.v2.p1.aprtrs_episode_report.var_report.xml									phs000521.v2.p1	Ataxia
			08/20/2013				./data/phs000285.v3.pht001609.v2.p2.B2F09KID.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			2020/03/24				./data/phs001641.v1.pht010027.v1.p1.3MonthPost.var_report.xml									phs001641.v1.p1	Progressive Patient Care
			2018/09/14				./data/phs001658.v1.pht008342.v1.p1.Adrenocortical_Carcinoma_Subject.var_report.xml									phs001658.v1.p1	Adrenocortical Carcinoma
			2019/03/11				./data/phs000286.v6.pht008728.v1.p2.allevtstroke.var_report.xml									phs000286.v6.p2	Cardiovascular Diseases
544.0	544.0		2020/05/26	1276.0		274.0	./data/phs002020.v1.pht010227.v1.p1.ROP_Pedigree.var_report.xml	0.0	425.3	82.03	458.0			458.0		phs002020.v1.p1	Retinopathy of Prematurity
			2021/06/09				./data/phs001345.v3.pht008602.v1.p1.TOPMed_WGS_GENOA_Subject.var_report.xml									phs001345.v3.p1	Hypertension
94.0	750.0		2017/11/13	984.0		94.0	./data/phs001013.v3.pht005311.v2.p2.HVH_Subject_Phenotypes.var_report.xml	0.0	99.0	7.778	9.0			99.0		phs001013.v3.p2	Cardiovascular Disease
			2018/09/19				./data/phs000357.v2.pht002335.v2.p1.Systemic_Sclerosis_Sample_Attributes.var_report.xml									phs000357.v2.p1	Systemic Sclerosis
2943.0	3500.0		04/29/2016	6443.0		2943.0	./data/phs000128.v3.pht000447.v2.p3.simphen048.var_report.xml	0.0	3222.0	393.9	3500.0			3222.0		phs000128.v3.p3	Coronary Disease
			2018/04/30				./data/phs001322.v2.pht006332.v2.p1.ALS4_Sample_Attributes.var_report.xml									phs001322.v2.p1	Amyotrophic Lateral Sclerosis 4, Juvenile
			03/26/2015				./data/phs000761.v1.pht004496.v1.p1.OPPERA_Subject.var_report.xml									phs000761.v1.p1	Temporomandibular Joint Disorders
42.0			2019/07/26	194.0			./data/phs000588.v1.pht009295.v1.p1.demographic_form.var_report.xml	0.0			151.0					phs000588.v1.p1	Giant Cell Arteritis
			2021/08/23				./data/phs001232.v4.pht006078.v4.p2.UDN_phenotype_code.var_report.xml									phs001232.v4.p2	Rare Diseases
			06/09/2016				./data/phs001041.v1.pht005391.v1.p1.Melanoma_CTLA_4_Blockade_Sample.var_report.xml									phs001041.v1.p1	Melanoma
			2019/03/11				./data/phs000286.v6.pht008780.v1.p2.rdfb.var_report.xml									phs000286.v6.p2	Cardiovascular Diseases
			2018/10/05				./data/phs001304.v1.pht008313.v1.p1.BPV_Sample.var_report.xml									phs001304.v1.p1	Carcinoma, Renal Cell
			2018/03/20				./data/phs000605.v1.pht007642.v1.p1.treatmenttable.var_report.xml									phs000605.v1.p1	Lymphangioleiomyomatosis
			2020/07/07				./data/phs001938.v2.pht010331.v1.p1.ADT_PC_GEO.var_report.xml									phs001938.v2.p1	Prostatic Neoplasms
			07/27/2017				./data/phs000596.v1.pht006716.v1.p1.physician_examination.var_report.xml									phs000596.v1.p1	Primary ciliary dyskinesia
			12/03/2013				./data/phs000631.v1.pht003600.v1.p1.ARDSNet_iSPAAR_Sample.var_report.xml									phs000631.v1.p1	Respiration Disorders
			2020/06/18				./data/phs000280.v7.pht004111.v2.p1.HOM.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
			06/01/2017				./data/phs001306.v1.pht006188.v1.p1.Psoriasis_Associated_Variants_Sample.var_report.xml									phs001306.v1.p1	Psoriasis
			12/01/2015				./data/phs000571.v3.pht003188.v3.p2.MutationResults.var_report.xml									phs000571.v3.p2	Heart Defects, Congenital
			2019/03/28				./data/phs001797.v1.pht008892.v1.p1.mUC_Sample_Attributes.var_report.xml									phs001797.v1.p1	Urogenital Neoplasms
137.0	159.0		2017/10/20	296.0		137.0	./data/phs001156.v2.pht007050.v1.p1.EVE_Subject_Phenotype.var_report.xml	0.0	7.5	9.192	159.0			7.5		phs001156.v2.p1	Asthma
			2020/06/18				./data/phs001787.v1.pht009046.v1.p1.CRC_High_Risk_Families_Sample_Attributes.var_report.xml									phs001787.v1.p1	Colorectal Neoplasms, Hereditary Nonpolyposis
2943.0	3500.0		04/29/2016	6443.0		2943.0	./data/phs000128.v3.pht000586.v2.p3.simphen187.var_report.xml	0.0	3222.0	393.9	3500.0			3222.0		phs000128.v3.p3	Coronary Disease
			Mon Oct 27 16:32:31 2008				./data/phs000020.v2.pht000667.v1.p1.NESDA_NTR_mdd_episodes.var_report_2008_10_27.xml									phs000020.v2.p1	Depressive Disorder, Major
539.0	839.0		02/27/2015	3964.0		539.0	./data/phs000170.v2.pht000737.v1.p1.Marshfield_Data_Phenotype.var_report.xml	0.0	689.0	492.1	839.0			689.0		phs000170.v2.p1	Cataract
			Mon Oct 27 17:24:52 2008				./data/phs000130.v1.pht000615.v1.p1.IBD_Subject.var_report_2008_11_06.xml									phs000130.v1.p1	Crohn Disease
2.0	8.0		2018/12/31	10.0		2.0	./data/phs001758.v1.pht008611.v1.p1.FNMTC_Subject_Phenotypes.var_report.xml	0.0	5.0	4.243	8.0			5.0		phs001758.v1.p1	Thyroid Cancer, Papillary
			2021/07/08				./data/phs001543.v2.pht009912.v1.p1.AFLMU_Sample.var_report.xml									phs001543.v2.p1	Atrial Fibrillation
			2021/06/23				./data/phs001027.v4.pht005217.v3.p1.Epigenetics_AML_Sample_Attributes.var_report.xml									phs001027.v4.p1	Acute Myeloid Leukemia
			11/05/2014				./data/phs000209.v13.pht002103.v1.p3.MESA_AncilMesaLungExam4CT.var_report.xml									phs000209.v13.p3	Cardiovascular Diseases
			2021/07/29				./data/phs001624.v2.pht008231.v2.p2.TOPMed_CCDG_BioVU_Subject_Phenotypes.var_report.xml									phs001624.v2.p2	Atrial Fibrillation
			2021/09/24				./data/phs001726.v2.pht009835.v2.p1.TOPMed_WGS_CAMP_Sample.var_report.xml									phs001726.v2.p1	Asthma
			08/27/2013				./data/phs000650.v1.pht003484.v1.p1.PediGFR_CKiD_Subject.var_report.xml									phs000650.v1.p1	Kidney Diseases
			2017/08/22				./data/phs001209.v1.pht006803.v1.p1.MIDCIRS_Sample.var_report.xml									phs001209.v1.p1	Malaria
			08/20/2013				./data/phs000285.v3.pht001592.v2.p2.A5F06VA.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			2020/05/01				./data/phs001890.v1.pht009544.v1.p1.CIViC_smMIPs_Subject.var_report.xml									phs001890.v1.p1	
			2020/12/21				./data/phs000007.v32.pht002890.v6.p13.l_icam_2008_m_0431s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			2021/02/08				./data/phs001422.v2.pht006761.v2.p1.GETHIN_Sample_Attributes.var_report.xml									phs001422.v2.p1	Insulinoma
			2020/04/14				./data/phs001994.v1.pht010009.v1.p1.Tobacco_HNSCC_Sample.var_report.xml									phs001994.v1.p1	Squamous Cell Carcinoma of Head and Neck
			2021/03/11				./data/phs001818.v3.pht009020.v2.p1.sc_GI_Cancer_Subject.var_report.xml									phs001818.v3.p1	Stomach Neoplasms
			09/14/2015				./data/phs000982.v1.pht004981.v1.p1.PsA_Subject.var_report.xml									phs000982.v1.p1	Arthritis, Psoriatic
			2019/04/19				./data/phs001295.v2.pht006239.v2.p1.registration.var_report.xml									phs001295.v2.p1	Charcot-Marie-Tooth Disease
			2020/01/07				./data/phs001953.v1.pht009772.v1.p1.UM_AEB071_Sample.var_report.xml									phs001953.v1.p1	Uveal Neoplasms
			05/08/2017				./data/phs001362.v1.pht006343.v1.p1.Gastric_Cancer_Metastases_Sample.var_report.xml									phs001362.v1.p1	Stomach Neoplasms
			07/06/2016				./data/phs001093.v1.pht005610.v1.p1.T2D_GENES_UK_South_Asian_Subject.var_report.xml									phs001093.v1.p1	Diabetes Mellitus, Type 2
19.0	19.0		11/30/2015	23.0		4.0	./data/phs001007.v1.pht005068.v1.p1.HNSCC_Metastasis_Recurrence_Subject_Phenotypes.var_report.xml	0.0	11.5	10.61	4.0			11.5		phs001007.v1.p1	Carcinoma, squamous cell of head and neck
			01/05/2015				./data/phs000817.v1.pht004417.v1.p1.Varicella_Zoster_Vaccine_Sample_Attributes.var_report.xml									phs000817.v1.p1	Varicella Vaccine
2050.0	2878.0		02/05/2016	4929.0		1.0	./data/phs000944.v1.pht004846.v1.p1.eMERGE_PhaseIII_Partners_Biobank_Subject_Phenotypes.var_report.xml	0.0	1643.0	1481	2878.0			2050.0		phs000944.v1.p1	Hypercholesterolemia
			04/15/2014				./data/phs000508.v2.pht002809.v1.p1.Pediatric_Rhabdoid_CancersP_Subject.var_report.xml									phs000508.v2.p1	Rhabdoid Tumor
			2018/12/10				./data/phs001621.v1.pht008153.v1.p1.Platinum_Study_Sample.var_report.xml									phs001621.v1.p1	
732.0	732.0		2020/06/02	573.0		619.0	./data/phs001841.v1.pht009905.v1.p1.CADD_GADD_Pedigree.var_report.xml	0.0	675.5	79.9	619.0			675.5		phs001841.v1.p1	Opioid-Related Disorders
			2019/11/20				./data/phs000921.v4.pht004884.v3.p1.TOPMed_WGS_SAGE_Sample_Attributes.var_report.xml									phs000921.v4.p1	Lung Diseases
			2018/02/27				./data/phs001206.v1.pht007344.v1.p1.BSP_AA_Sample.var_report.xml									phs001206.v1.p1	Blepharospasm
39.0	85.0		2020/11/24	124.0		39.0	./data/phs001700.v1.pht008502.v1.p1.Moyamoya_Subject_Phenotypes.var_report.xml	0.0	62.0	32.53	85.0			62.0		phs001700.v1.p1	Moyamoya Disease
			2021/07/13				./data/phs001545.v2.pht009964.v1.p1.TOPMed_CCDG_INSPIRE_AF_Subject.var_report.xml									phs001545.v2.p1	Atrial Fibrillation
			2020/02/04				./data/phs001507.v1.pht008697.v1.p1.ET_Turkish_Sample.var_report.xml									phs001507.v1.p1	Essential Tremor
947.0		2.0	08/20/2013	511.0	1.607		./data/phs000285.v3.pht001697.v2.p2.C1REF.var_report.xml	0.0		0.4976	896.0	1.0			2.0	phs000285.v3.p2	Cardiovascular Diseases
			09/03/2014				./data/phs000750.v1.pht003935.v1.p1.GOAL_Sample.var_report.xml									phs000750.v1.p1	Population Groups
			2021/03/30				./data/phs001307.v1.pht011049.v1.p1.TGCT_UPenn_Sample_Attributes.var_report.xml									phs001307.v1.p1	Testicular Germ Cell Tumor
70.0	657.0		2019/03/11	88.0		70.0	./data/phs000286.v6.pht002139.v4.p2.JHS_Pedigree.var_report.xml	0.0	510.5	83.44	657.0			510.5		phs000286.v6.p2	Cardiovascular Diseases
			2021/05/20				./data/phs000997.v5.pht005089.v4.p2.TOPMed_WGS_VAFAR_Sample_Attributes.var_report.xml									phs000997.v5.p2	Atrial Fibrillation
			07/05/2017				./data/phs000595.v1.pht006629.v1.p1.adverse_event.var_report.xml									phs000595.v1.p1	Primary ciliary dyskinesia
			08/02/2013				./data/phs000644.v1.pht003421.v1.p1.Menstrual_Cycle_Effect_Breast_Subject.var_report.xml									phs000644.v1.p1	Menstrual Cycle
			2020/12/21				./data/phs000007.v32.pht000138.v3.p13.ank0_23s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			2019/03/28				./data/phs001797.v1.pht008889.v1.p1.mUC_Subject.var_report.xml									phs001797.v1.p1	Urogenital Neoplasms
			2018/10/02				./data/phs001664.v1.pht008437.v1.p1.PDCGC_Subject.var_report.xml									phs001664.v1.p1	Parkinson Disease
			01/19/2010				./data/phs000219.v1.pht001102.v1.p1.d_summary.var_report_2010_01_19.xml									phs000219.v1.p1	Alzheimer Disease
			12/17/2014	5152.0			./data/phs000799.v1.pht004295.v1.p1.SBCGS_Breast_Cancer_Chinese_Subject_Phenotypes.var_report.xml	0.0			5152.0					phs000799.v1.p1	Breast Neoplasms
9.0			2019/06/14	136.0			./data/phs000589.v1.pht009186.v1.p1.demographic_form.var_report.xml	0.0			127.0					phs000589.v1.p1	Takayasu Arteritis
			11/28/2011				./data/phs000385.v1.pht002340.v1.p1.Epigenetic_Colorectal_Cancer_Sample.var_report.xml									phs000385.v1.p1	Colorectal Neoplasms
58.0	58.0		2018/05/21	57.0		49.0	./data/phs001198.v1.pht007865.v1.p1.Methamphetamine_Abstinence_Subject_Phenotypes.var_report.xml	0.0	53.5	6.364	49.0			53.5		phs001198.v1.p1	Substance-Related Disorders
409.0			04/04/2014	694.0			./data/phs000734.v1.pht003771.v1.p1.Osteosarcoma_Risk_Subject_Phenotypes.var_report.xml	0.0			285.0					phs000734.v1.p1	Osteosarcoma
			2020/03/12				./data/phs000673.v4.pht003660.v4.p1.CSER_Subject.var_report.xml									phs000673.v4.p1	Neoplasms
4.0	4.0		2018/06/30	4.0		4.0	./data/phs001643.v1.pht008193.v1.p1.Chordoma_Subject_Phenotypes.var_report.xml	0.0	4.0					4.0		phs001643.v1.p1	Chordoma
			2021/07/21				./data/phs002446.v1.pht011403.v1.p1.SjS_Transcriptional_Sample.var_report.xml									phs002446.v1.p1	Sjogren's Syndrome
			2019/08/10				./data/phs001208.v2.pht008654.v1.p1.COGA_SmokeScreen_Subject.var_report.xml									phs001208.v2.p1	Alcoholism
			2020/06/18				./data/phs000280.v7.pht004100.v5.p1.HFCCELPS16.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
573.0			2020/01/07	905.0			./data/phs001741.v1.pht009165.v1.p1.CCDG_TASC_Subject_Phenotypes.var_report.xml	0.0			34.0					phs001741.v1.p1	Autism Spectrum Disorder
			11/08/2013				./data/phs000200.v9.pht002768.v1.p3.outc_fracture_rel2.var_report.xml									phs000200.v9.p3	Women&#39;s Health
			2017/12/12				./data/phs001405.v1.pht007234.v1.p1.GSK1120212_TNBC_Kinome_GEO.var_report.xml									phs001405.v1.p1	Triple Negative Breast Neoplasms
33.0			06/30/2014	54.0			./data/phs000757.v1.pht003923.v1.p1.Hereditary_Ataxias_Subject_Phenotypes.var_report.xml	0.0			21.0					phs000757.v1.p1	Ataxia
			2020/10/27				./data/phs001616.v2.pht008541.v2.p2.eMERGEseq_Sample.var_report.xml									phs001616.v2.p2	Precision Medicine
1.0	4.0		2018/04/16	5.0		1.0	./data/phs000862.v1.pht007835.v1.p1.SubjectPhenotypes.var_report.xml	0.0	2.5	2.121	4.0			2.5		phs000862.v1.p1	Mucopolysaccharidosis I
			2018/03/23				./data/phs000698.v1.pht007678.v1.p1.inspiratory_core_ctscan_80as.var_report.xml									phs000698.v1.p1	alpha 1-Antitrypsin Deficiency
			04/09/2014				./data/phs000437.v1.pht003687.v1.p1.Auriculocondylar_Syndrome_Subject.var_report.xml									phs000437.v1.p1	Auriculo-condylar syndrome
			2021/02/22				./data/phs002212.v1.pht010985.v1.p1.ZRSR2_MDS_Subject_Phenotypes.var_report.xml									phs002212.v1.p1	Myelodysplastic Syndromes
			2018/06/26				./data/phs001526.v1.pht007612.v1.p1.DIPG_Sample.var_report.xml									phs001526.v1.p1	Glioma
			2018/05/15				./data/phs001311.v1.pht007930.v1.p1.drug_accountability_form.var_report.xml									phs001311.v1.p1	Myotonia
			10/25/2011				./data/phs000406.v1.pht002405.v1.p1.Spatiotemporal_Transcriptome_Brain_Subject_Phenotypes.var_report.xml									phs000406.v1.p1	Aging
			08/02/2012				./data/phs000502.v1.pht002814.v1.p1.Splenic_Marginal_Zone_Lymphoma_Sample.var_report.xml									phs000502.v1.p1	Lymphoma, Non-Hodgkin
			2020/07/10				./data/phs002055.v1.pht010346.v1.p1.GTAC_ALS_FTD_Sample_Attributes.var_report.xml									phs002055.v1.p1	Amyotrophic Lateral Sclerosis
353.0	353.0		2019/08/01	580.0		40.0	./data/phs001740.v1.pht008623.v1.p1.CCDG_SAGE_Subject_Phenotypes.var_report.xml	0.0	193.3	84.85	40.0			226.0		phs001740.v1.p1	Autism Spectrum Disorder
			11/04/2014				./data/phs000086.v3.pht000278.v1.p1.DCCT_bgpdat.var_report.xml									phs000086.v3.p1	Insulin-Dependent Diabetes Mellitus
52.0	52.0		2021/07/29	97.0		55.0	./data/phs001607.v3.pht010151.v3.p2.TOPMed_WGS_IPF_Subject_Phenotypes.var_report.xml	0.0	88.0	93.35	725.0			88.0		phs001607.v3.p2	Idiopathic Pulmonary Fibrosis
			2020/12/21				./data/phs000007.v32.pht000689.v7.p13.ffreq1_3s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			12/02/2015				./data/phs000810.v1.pht004715.v1.p1.HCHS_SOL_Cohort_Subject_Phenotypes.var_report.xml									phs000810.v1.p1	Cardiovascular Diseases
			2017/12/29				./data/phs000950.v1.pht005971.v1.p1.SEER_Ovarian_FFPE_Sample_Attributes.var_report.xml									phs000950.v1.p1	Neoplasms
36.0	36.0		2018/05/22	50.0		4.0	./data/phs001595.v1.pht007995.v1.p1.study6103_DS.var_report.xml	200.0	25.0	15.56	14.0			25.0		phs001595.v1.p1	Hypotension, Orthostatic
			2021/09/20				./data/phs002407.v1.pht011564.v1.p1.MMRd_MMRp_CRC_GEO.var_report.xml									phs002407.v1.p1	Colorectal Neoplasms
			2019/05/13				./data/phs001811.v1.pht009060.v1.p1.Early_Lung_ADC_Subject.var_report.xml									phs001811.v1.p1	Adenocarcinoma of Lung
			03/12/2013				./data/phs000343.v3.pht002211.v1.p1.GARNET_VISP_Subject.var_report.xml									phs000343.v3.p1	Stroke
			2020/01/23				./data/phs000287.v7.pht001456.v1.p1.CARE_AFIB.var_report.xml									phs000287.v7.p1	Cardiovascular Diseases
			03/12/2013				./data/phs000343.v3.pht002725.v1.p1.endstk.var_report.xml									phs000343.v3.p1	Stroke
90.0	90.0		08/13/2015	94.0		76.0	./data/phs000415.v1.pht002414.v1.p1.CIDR_Tourette_Syndrome_Subject_Phenotypes.var_report.xml	0.0	83.0	9.899	76.0			83.0		phs000415.v1.p1	Tourette Syndrome
			2018/06/21				./data/phs001470.v1.pht008167.v1.p1.CIDR_SWAN_Phenotypes_Baseline.var_report.xml									phs001470.v1.p1	Menopause
