subject_male,filename,max_count,min,mean_count,max,n,male,other,sample_min,date,subject_n,sample_max,min_count,sample_n,sample_female,median_count,mean,sample_median,female,sample_nulls,nulls,sample_male,subject_female,subject_max,sd,subject_median,median,subject_min,subject_nulls
523,./data/phs001364.v1.pht007465.v1.p1.HCP_Young_Adults_Sample.var_report.xml,,,,,,,,,2018/02/27,1142,,,1142,619,,,,,0,,523,619,,,,,,0
187,./data/phs001030.v1.pht005090.v1.p1.Viral_Respiratory_Pathogens_Genetics_Subject.var_report.xml,,,,,,,,,05/31/2017,388,,,,,,,,,,,,201,,,,,,0
,./data/phs001328.v1.pht006315.v1.p1.conclusionofstudyparticipation.var_report.xml,,,,,,,,,05/17/2017,,,,,,,,,,,,,,,,,,,
2,./data/phs002279.v1.pht010631.v1.p1.GIMs_Spermatids_Subject_Phenotypes.var_report.xml,,,,,,,,,2020/11/03,2,,,,,,,,,,,,,,,,,,0
,./data/phs001595.v1.pht007995.v1.p1.study6103_DS.var_report.xml,36,,25,,50,36,,,2018/05/22,,,4,,,25,,,14,,200,,,,15.56,,,,
,./data/phs000285.v3.pht001783.v2.p2.E1F17.var_report.xml,,,,,,,,,08/20/2013,,,,,,,,,,,,,,,,,,,
,./data/phs000159.v9.pht000818.v9.p5.AML_Subject.var_report.xml,,,,,,,,,2019/12/06,,,,,,,,,,,,,,,,,,,
,./data/phs001436.v1.pht007248.v1.p1.GMKF_NBL_Subject.var_report.xml,,,,,,,,,2019/09/20,,,,,,,,,,,,,,,,,,,
86,./data/phs001489.v2.pht008583.v2.p2.CCDG_Epi25_Sample.var_report.xml,,,,,,,,,2021/03/18,94,,,94,99,,,,,0,,86,99,,,,,,0
,./data/phs000699.v1.pht004384.v1.p1.Osteosarcoma_Genomics_Subject_Phenotypes.var_report.xml,29,,29,,58,29,,,12/12/2014,,,29,,,29,,,29,,0,,,,0,,,,
,./data/phs000128.v3.pht000487.v2.p3.simphen088.var_report.xml,3500,,3222,,6443,2943,,,04/29/2016,,,2943,,,3222,,,3500,,0,,,,393.9,,,,
,./data/phs000595.v1.pht006635.v1.p1.final_diagnosis.var_report.xml,,,,,,,,,07/05/2017,,,,,,,,,,,,,,,,,,,
653,./data/phs001600.v2.pht011021.v2.p2.TOPMed_CCDG_CATHGEN_Subject_Phenotypes.var_report.xml,,,,,,,,,2021/07/15,1271,,,,,,,,,,,,618,,,,,,0
4,./data/phs000280.v7.pht009464.v2.p1.CCHIPS16.var_report.xml,,,,,,,,,2020/06/18,17537,,,,,,,,,,,,3,,,,,,0
,./data/phs000287.v7.pht005388.v1.p1.nsrr_chs_id_link2.var_report.xml,,,,,,,,,2020/01/23,,,,,,,,,,,,,,,,,,,
,./data/phs001419.v1.pht007091.v1.p1.p6601_12800_neurology.var_report.xml,,,,,,,,,2017/12/04,,,,,,,,,,,,,,,,,,,
,./data/phs000285.v3.pht001812.v2.p2.F1F09ASP.var_report.xml,,,,,,,,,08/20/2013,,,,,,,,,,,,,,,,,,,
8,./data/phs000719.v1.pht003737.v1.p1.PNTM_Subject_Phenotypes.var_report.xml,88,,51,,78,8,,,04/15/2014,78,,8,,,51,,,88,,0,,88,,52.33,,,,0
,./data/phs001065.v1.pht005427.v1.p1.randomized.var_report.xml,313,,304.5,,609,296,,,05/24/2016,,,296,,,304.5,,,313,,0,,,,12.02,,,,
61,./data/phs001649.v1.pht008515.v1.p1.CEDAR_Sample.var_report.xml,,,,,,,,,2019/02/19,78,,,78,170,,,,,0,,61,170,,,,,,0
901,./data/phs001193.v1.pht005974.v1.p1.Colorectal_Cancer_Hispanic_Sample.var_report.xml,,,,,,,,,12/06/2016,950,,,950,70,,,,,0,,901,70,,,,,,0
,./data/phs001831.v1.pht009169.v1.p1.Neuroblastoma_Epigenetics_Sample_Attributes.var_report.xml,,,,,,,,,2020/08/26,,,,287,88,,,,,0,,101,,,,,,,
,./data/phs000256.v4.pht001237.v4.p3.HMP_Vaginal_Microbiome_Subject.var_report.xml,,,,,,,,,2019/10/15,,,,,,,,,,,,,,,,,,,
408,./data/phs001375.v2.pht006521.v2.p1.SIGMA_MCDS_Sample.var_report.xml,,,,,,,,,2021/03/22,713,,,713,628,,,,,0,,408,628,,,,,,0
94,./data/phs000909.v1.pht004874.v1.p1.NEPC_Subject.var_report.xml,,,,,,,,,01/15/2016,94,,,,,,,,,,,,,,,,,,0
,./data/phs000824.v1.pht005137.v1.p1.Colon_Cancer_Predisposing_Mutations_Sample.var_report.xml,,,,,,,,,11/24/2015,,,,,,,,,,,,,,,,,,,
,./data/phs001065.v1.pht005436.v1.p1.uhdr7.var_report.xml,,,,,,,,,05/24/2016,,,,,,,,,,,,,,,,,,,
,./data/phs000285.v3.pht001599.v2.p2.B2F05.var_report.xml,,,,,,,,,08/20/2013,,,,,,,,,,,,,,,,,,,
,./data/phs000893.v1.pht005504.v1.p1.Endometrial_Cancer_E2C2_Sample_Attributes.var_report.xml,,,,,,,,,09/08/2016,,,,916,,,,,,0,,,,,,,,,
,./data/phs000862.v1.pht007835.v1.p1.SubjectPhenotypes.var_report.xml,4,,2.5,,5,1,,,2018/04/16,,,1,,,2.5,,,4,,0,,,,2.121,,,,
24,./data/phs001775.v1.pht008809.v1.p1.Multiplex_AD_Families_Subject_Phenotypes.var_report.xml,3,,20,,5,24,,,2019/03/01,5,,2,,,20,,,3,,0,,3,,6.364,,,,0
,./data/phs000287.v7.pht001457.v1.p1.CARE_DDDIMER_WEIGHTS_1_10.var_report.xml,,,,,,,,,2020/01/23,,,,,,,,,,,,,,,,,,,
,./data/phs000451.v1.pht002602.v1.p1.NECS_Subject.var_report.xml,,,,,,,,,08/31/2012,,,,,,,,,,,,,,,,,,,
,./data/phs000888.v1.pht005590.v1.p1.Geisinger_AAA_Static.var_report.xml,,,,,,,,,08/12/2016,,,,,,,,,,,,,,,,,,,
6653,./data/phs000280.v7.pht004041.v2.p1.BPU01.var_report.xml,,,,,,,,,2020/06/18,14653,,,,,,,,,,,,8000,,,,,,0
1344,./data/phs000949.v1.pht005224.v1.p1.CIDR_Facial_Variation_Sample.var_report.xml,,,,,,,,,02/08/2016,3328,,,3328,1871,,,,,0,,1344,1871,,,,,,0
,./data/phs000007.v32.pht006025.v1.p13.vr_vte_2014_a_0913s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
,./data/phs000804.v1.pht005376.v1.p1.Ewing_Sarcoma_Subject_Phenotypes.var_report.xml,,,,,69,53,,,09/06/2016,,,,,,,,,49,,0,,,,,,,,
13,./data/phs000939.v2.pht004789.v2.p1.Lymphoma_Oncogene_Dysregulation_Subject_Phenotypes.var_report.xml,13,,10,,20,13,,,2017/08/31,20,,7,,,10,,,7,,0,,7,,4.243,,,,0
7,./data/phs002436.v1.pht011375.v1.p1.TIL_Infusion_Subject.var_report.xml,7,,6.5,,13,7,,,2021/07/07,13,,6,,,6.5,,,6,,0,,6,,0.7071,,,,0
,./data/phs000171.v1.pht000750.v1.p1.MS_DATA_CONSENT.var_report_2009_12_11.xml,,,,,,,,,12/11/2009,,,,,,,,,,,,,,,,,,,
3,./data/phs002217.v1.pht010533.v1.p1.MELAS_Subject.var_report.xml,3,,3,,3,3,,,2020/09/18,3,,3,,,3,,,,,0,,,,,,,,0
2,./data/phs002364.v1.pht011041.v1.p1.HIV_cART_Sample.var_report.xml,,,,,,,,,2021/03/17,3,,,3,1,,,,,0,,2,1,,,,,,0
4331,./data/phs001157.v1.pht005805.v1.p1.WLS_Aging_Subject_Phenotypes.var_report.xml,4696,,4514,,9027,4331,,,04/17/2017,9027,,4331,,,4514,,,4696,,0,,4696,,258.1,,,,0
,./data/phs000517.v3.pht002915.v2.p1.Multiethnic_Cohort_Study_Subject_Phenotypes.var_report.xml,732,,732,,732,,,,05/05/2015,,,732,,,732,,,732,,0,,,,,,,,
,./data/phs000551.v1.pht003063.v1.p1.CATHGEN_Subject_Phenotypes.var_report.xml,413,,319,,638,387,,,12/03/2013,,,225,,,319,,,207,,0,,,,132.9,,,,
6,./data/phs001911.v1.pht009519.v1.p1.RADseq_Subject_Phenotypes.var_report.xml,36,,17.67,,53,6,,,2019/10/08,53,,6,,,11,,,11,,0,,11,,16.07,,,,0
,./data/phs001953.v1.pht009771.v1.p1.UM_AEB071_Subject.var_report.xml,,,,,,,,,2020/01/07,89,,,,,,,,,,,,,,,,,,0
,./data/phs000128.v3.pht000491.v2.p3.simphen092.var_report.xml,3500,,3222,,6443,2943,,,04/29/2016,,,2943,,,3222,,,3500,,0,,,,393.9,,,,
,./data/phs000223.v1.pht002620.v1.p1.PAGE_ARIC_Sample.var_report.xml,,,,,,,,,03/14/2012,,,,,,,,,,,,,,,,,,,
,./data/phs000906.v1.pht007146.v1.p1.BMI_ALL.var_report.xml,,,,,,,,,2017/12/04,,,,,,,,,,,,,,,,,,,
,./data/phs001279.v1.pht007213.v1.p1.medical_history.var_report.xml,,,,,11,5,,,2017/12/08,,,,,,,,,6,,27,,,,,,,,
,./data/phs000619.v1.pht003351.v1.p1.Autism_Epigenetics_Subject.var_report.xml,,,,,,,,,08/26/2013,,,,,,,,,,,,,,,,,,,
,./data/phs000957.v1.pht004853.v1.p1.eMERGE_III_MyCode_Sample.var_report.xml,,,,,,,,,07/31/2015,,,,,,,,,,,,,,,,,,,
31,./data/phs000768.v2.pht004477.v2.p1.Pediatric_Ewing_Sarcoma_Subject.var_report.xml,,,,,,,,,12/20/2016,93,,,,,,,,,,,,22,,,,,,0
,./data/phs000744.v4.pht003980.v4.p2.Y_CMG_Sample_Attributes.var_report.xml,,,,,,,,,08/01/2016,,,,,,,,,,,,,,,,,,,
,./data/phs000812.v1.pht004300.v1.p1.Prostate_Subject_Phenotypes.var_report.xml,,,,,,,,,10/27/2014,857,,,,,,,,,,,,,,,,,,0
5,./data/phs002188.v1.pht011031.v1.p1.Lymphoma_Subject.var_report.xml,5,,5,,10,5,,,2021/03/22,10,,5,,,5,,,5,,0,,5,,0,,,,0
2,./data/phs001325.v3.pht006350.v1.p1.iPSCORE_WGS_Pedigree.var_report.xml,207,,2,,385,2,,,2019/11/22,385,,2,,,2,,,207,,0,,207,,24.04,,,,0
,./data/phs000007.v32.pht000088.v7.p13.hear1_6s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
,./data/phs000007.v32.pht010757.v1.p13.vr_npqerror_2018_a_1278s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
,./data/phs000606.v1.pht007573.v1.p1.deathrecord.var_report.xml,,,,,,,,,2018/03/09,,,,,,,,,,,,,,,,,,,
,./data/phs000437.v1.pht003691.v1.p1.Auriculocondylar_Syndrome_Sample_Attributes.var_report.xml,,,,,,,,,04/09/2014,,,,,,,,,,,,,,,,,,,
,./data/phs000007.v32.pht000744.v5.p13.vr_soepedvt_2012_m_0766s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
30,./data/phs000601.v1.pht003514.v1.p1.Heritable_Breast_Cancer_Pedigree.var_report.xml,,,,,80,30,,,09/10/2013,80,,,,,,,,50,,0,,50,,,,,,0
,./data/phs001932.v1.pht009657.v1.p1.MGS_European_Sample_Attributes.var_report.xml,,,,,,,,,2019/12/16,,,,957,69,,,,,0,,722,,,,,,,
12,./data/phs002276.v1.pht011555.v1.p1.GMKF_T_ALL_Sample.var_report.xml,,,,,,,,,2021/10/06,2936,,,2936,3,,,,,0,,12,3,,,,,,0
3,./data/phs002557.v1.pht011479.v1.p1.PID_LRBA_Subject.var_report.xml,3,,2,,4,3,,,2021/08/20,4,,2,,,2,,,1,,0,,1,,1.414,,,,0
,./data/phs000564.v2.pht003057.v2.p1.WGS_NICU_Pedigree.var_report.xml,85,,78.5,,276,72,,,07/09/2015,,,72,,,78.5,,,85,,0,,,,9.192,,,,
,./data/phs001546.v2.pht009975.v1.p1.TOPMed_WGS_DECAF_Sample_Attributes.var_report.xml,,,,,,,,,2021/07/14,,,,6,1,,,,,0,,5,,,,,,,
7,./data/phs001906.v1.pht009662.v1.p1.GISTs_Subject_Phenotypes.var_report.xml,9,,7,,6,7,,,2019/12/11,6,,5,,,7,,,9,,0,,9,,2,,,,0
,./data/phs002023.v1.pht010198.v1.p1.CRPM_Sample_Attributes.var_report.xml,,,,,,,,,2020/05/06,,,,30,11,,,,,0,,3,,,,,,,
,./data/phs001417.v1.pht007364.v1.p1.Metastatic_Tumors_cfDNA_Subject.var_report.xml,,,,,,,,,2018/01/26,,,,,,,,,,,,,,,,,,,
187,./data/phs001030.v1.pht005091.v1.p1.Viral_Respiratory_Pathogens_Genetics_Sample.var_report.xml,,,,,,,,,05/31/2017,518,,,518,201,,,,,0,,187,201,,,,,,0
1298,./data/phs000761.v1.pht004497.v1.p1.OPPERA_Sample.var_report.xml,,,,,,,,,03/26/2015,4474,,,4474,1737,,,,,0,,1298,1737,,,,,,0
,./data/phs000209.v13.pht003087.v1.p3.MESA_AncilMesaCTRead185.var_report.xml,91,0,87,1,5,94,,,11/05/2014,,,83,,,87,0.521,,91,,9,,,,7.071,,1,,
312,./data/phs001191.v1.pht006225.v1.p1.eMERGE_NUgene_WGS_Sample.var_report.xml,,,,,,,,,03/29/2017,900,,,900,588,,,,,0,,312,588,,,,,,0
,./data/phs001318.v1.pht008019.v1.p1.generallaboratory.var_report.xml,,,,,,,,,2018/05/31,,,,,,,,,,,,,,,,,,,
,./data/phs000578.v1.pht007021.v1.p1.sf10_for_age5.var_report.xml,,,,,,,,,2017/10/11,,,,,,,,,,,,,,,,,,,
352,./data/phs001381.v1.pht006567.v1.p1.Gut_Microbiome_Colorectal_Polyps_Sample.var_report.xml,,,,,,,,,06/19/2017,667,,,667,315,,,,,0,,352,315,,,,,,0
278,./data/phs001653.v1.pht008704.v1.p1.Holoprosencephaly_Sample.var_report.xml,,,,,,,,,2019/04/10,625,,,625,347,,,,,0,,278,347,,,,,,0
,./data/phs001127.v1.pht005525.v1.p1.Endometrial_Cancer_Primaries_Metastases_Subject.var_report.xml,,,,,,,,,06/14/2016,,,,,,,,,,,,,,,,,,,
,./data/phs001608.v2.pht009736.v1.p1.TOPMed_WGS_OMG_SCD_Sample_Attributes.var_report.xml,,,,,,,,,2021/09/29,,,,640,351,,,,,0,,289,,,,,,,
,./data/phs001736.v1.pht009330.v1.p1.RCC_European_Sample_Attributes.var_report.xml,,,,,,,,,2019/07/29,,,,927,881,,,,,0,,89,,,,,,,
80,./data/phs001480.v1.pht010830.v1.p1.PRO_CIPN_Subject.var_report.xml,87,,78.5,,80,80,,,2021/01/13,80,,80,,,78.5,,,87,,0,,87,,80.61,,,,0
6,./data/phs000280.v7.pht006482.v1.p1.SMF.var_report.xml,,,,,,,,,2020/06/18,5499,,,,,,,,,,,,8,,,,,,0
,./data/phs001396.v1.pht006738.v1.p1.Pigmentation_Eastern_Southern_African_Sample_Attributes.var_report.xml,,,,,,,,,2018/05/14,,,,1573,821,,,,,0,,749,,,,,,,
,./data/phs000086.v3.pht000233.v1.p1.DCCT_master.var_report.xml,761,,720.5,,1441,761,,,11/04/2014,,,680,,,720.5,,,680,,0,,,,57.28,,,,
1880,./data/phs000703.v1.pht003669.v1.p1.6a_dbGaP_CATHGEN_Cohort_Sample.var_report.xml,,,,,,,,,07/23/2014,3306,,,,,,,,,,,,1378,,,,,,0
,./data/phs000409.v1.pht002739.v1.p1.WGS_Medulloblastoma_GEO.var_report.xml,,,,,,,,,05/23/2012,,,,,,,,,,,,,,,,,,,
,./data/phs000589.v1.pht009190.v1.p1.fu_vasculitis_meds_form.var_report.xml,,,,,,,,,2019/06/14,,,,,,,,,,,,,,,,,,,
,./data/phs000007.v32.pht000012.v3.p13.ex0_10s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
688,./data/phs001215.v4.pht008631.v2.p2.TOPMed_WGS_SAFHS_Subject_Phenotypes.var_report.xml,990,,839,,557,688,,,2021/06/08,562,,688,,,839,,,990,,5,,990,,85.56,,,,0
1090,./data/phs000280.v7.pht004169.v2.p1.RTABM25.var_report.xml,,,,,,,,,2020/06/18,1090,,,,,,,,,,,,,,,,,,0
611,./data/phs001876.v1.pht009387.v1.p1.BSRC_ASD_CNV_Subject.var_report.xml,,,,,,,,,2019/08/10,648,,,,,,,,,,,,73,,,,,,0
,./data/phs000007.v32.pht002154.v6.p13.l_fabp_2005_m_0511s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
6,./data/phs000280.v7.pht004204.v2.p1.TIAE04.var_report.xml,,,,,,,,,2020/06/18,12,,,,,,,,,,,,6019,,,,,,0
6,./data/phs000280.v7.pht004213.v2.p1.UBME4.var_report.xml,,,,,,,,,2020/06/18,13203,,,,,,,,,,,,7219,,,,,,0
,./data/phs002258.v1.pht010605.v1.p1.SARS_CoV2_LAMP_RNASeq_Subject.var_report.xml,,,,,,,,,2020/10/29,669,,,,,,,,,,,,,,,,,,0
,./data/phs001045.v1.pht009262.v1.p1.MECC_Ashkenazi_Sample_Attributes.var_report.xml,,,,,,,,,2019/07/25,,,,323,154,,,,,0,,169,,,,,,,
497,./data/phs000775.v1.pht003943.v1.p1.Molecular_Genetics_Schizophrenia_Subject.var_report.xml,,,,,,,,,07/18/2014,859,,,,,,,,,,,,362,,,,,,0
,./data/phs000811.v1.pht004401.v1.p1.Targeted_DNA_NGS_Sample_Attributes.var_report.xml,,,,,,,,,01/06/2015,,,,16,,,,,,0,,,,,,,,,
,./data/phs000093.v2.pht000698.v2.p2.PLCO_Eagle_Pedigree.var_report_2009_10_09.xml,77,,9.5,,9,77,,,10/09/2009,,,7,,,9.5,,,7,,0,,,,8.485,,,,
676,./data/phs001857.v1.pht010764.v1.p1.MD_Ashkenazi_Subject.var_report.xml,677,,677,,677,676,,,2020/12/09,677,,677,,,677,,,677,,0,,677,,478,,,,0
8,./data/phs000568.v1.pht003112.v1.p1.Solitary_Fibrous_Tumors_SIGMA_Subject_Phenotypes.var_report.xml,9,,8.5,,17,8,,,01/02/2013,17,,8,,,8.5,,,9,,0,,9,,0.7071,,,,0
,./data/phs000741.v2.pht003918.v2.p1.GOLDN_Lipid_Lowering_Subject_Phenotypes.var_report.xml,510,,484,,968,458,,,11/14/2016,,,458,,,484,,,510,,0,,,,36.77,,,,
,./data/phs000630.v1.pht003381.v1.p1.NIMH_Controls_Subject.var_report.xml,,,,,,,,,04/29/2014,,,,,,,,,,,,,,,,,,,
,./data/phs000897.v1.pht004640.v1.p1.Early_Stage_Ovarian_Cancer_Sample_Attributes.var_report.xml,,,,,,,,,04/11/2017,,,,142,,,,,,0,,,,,,,,,
,./data/phs000153.v9.pht000834.v8.p8.shareids_Subject.var_report.xml,,,,,,,,,07/16/2015,,,,,,,,,,,,,,,,,,,
,./data/phs002444.v1.pht011386.v1.p1.Osteosarcoma_Sample_Attributes.var_report.xml,,,,,,,,,2021/07/30,,,,720,323,,,,,0,,392,,,,,,,
,./data/phs000007.v32.pht000604.v5.p13.knoa1_5s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
,./data/phs000392.v1.pht002370.v1.p1.Exome_arPEO_Subject.var_report.xml,,,,,,,,,09/14/2011,,,,,,,,,,,,,,,,,,,
,./data/phs001939.v2.pht009665.v2.p1.CMI_MPCproject_Sample.var_report.xml,,,,,,,,,2021/08/20,,,,,,,,,,,,,,,,,,,
898,./data/phs001210.v1.pht005962.v1.p1.Lung_Cancer_Smoking_AA_Sample.var_report.xml,,,,,,,,,11/30/2016,941,,,941,972,,,,,0,,898,972,,,,,,0
5,./data/phs001797.v1.pht008890.v1.p1.mUC_Sample.var_report.xml,,,,,,,,,2019/03/28,46,,,46,2,,,,,0,,5,2,,,,,,0
,./data/phs000502.v1.pht002813.v1.p1.Splenic_Marginal_Zone_Lymphoma_Subject.var_report.xml,,,,,,,,,08/02/2012,,,,,,,,,,,,,,,,,,,
,./data/phs000633.v1.pht003623.v1.p1.Lung_Microbiome_Inflammation_Subject.var_report.xml,,,,,,,,,12/16/2013,29,,,,,,,,,,,,,,,,,,0
,./data/phs000285.v3.pht001654.v2.p2.C1F05.var_report.xml,,,,,,,,,08/20/2013,,,,,,,,,,,,,,,,,,,
,./data/phs000594.v1.pht006504.v1.p1.EnrollmentMedicalIllness.var_report.xml,,,,,,,,,06/12/2017,,,,,,,,,,,,,,,,,,,
,./data/phs001463.v1.pht007058.v1.p1.Differential_Transcription_Brain_Sample_Attributes.var_report.xml,,,,,,,,,2017/10/19,,,,8,,,,,,0,,,,,,,,,
,./data/phs000128.v3.pht000551.v2.p3.simphen152.var_report.xml,3500,,3222,,6443,2943,,,04/29/2016,,,2943,,,3222,,,3500,,0,,,,393.9,,,,
,./data/phs000007.v32.pht000305.v8.p13.lppla2m3_1s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
775,./data/phs001293.v3.pht008894.v1.p1.TOPMed_WGS_HyperGEN_Pedigree.var_report.xml,212,,887,,330,775,,,2021/06/09,330,,775,,,887,,,212,,1,,212,,66.47,,,,0
,./data/phs000678.v1.pht003565.v1.p1.Young_Onset_Breast_Cancer_Subject_Phenotypes.var_report.xml,,,,,,,,,05/13/2014,525,,,,,,,,,,,,525,,,,,,0
106,./data/phs001134.v1.pht011224.v1.p1.Chernobyl_PTC_Subject.var_report.xml,335,,220,,440,105,,,2021/05/17,442,,105,,,220,,,335,,2,,336,,162.6,,,,0
21,./data/phs001750.v1.pht008586.v1.p1.sc_Pulmonary_Fibrosis_Subject.var_report.xml,,,,,,,,,2018/12/11,39,,,,,,,,,,,,18,,,,,,0
,./data/phs002259.v1.pht011026.v1.p1.CD4T_European_Sample_Attributes.var_report.xml,,,,,,,,,2021/05/28,,,,226,20,,,,,0,,5,,,,,,,
,./data/phs000128.v3.pht000470.v2.p3.simphen071.var_report.xml,3500,,3222,,6443,2943,,,04/29/2016,,,2943,,,3222,,,3500,,0,,,,393.9,,,,
,./data/phs000902.v1.pht004670.v1.p1.MIGen_Regicor_Subject_Phenotypes.var_report.xml,607,,392,,784,607,,,01/20/2016,,,91,,,392,,,91,,0,,,,304.1,,,,
,./data/phs000495.v1.pht002867.v1.p1.TGP_Sample_Attributes.var_report.xml,,,,,,,,,08/22/2012,,,,,,,,,,,,,,,,,,,
,./data/phs000007.v32.pht002072.v7.p13.l_hstn_ex06_1_0534s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
,./data/phs000285.v3.pht001564.v2.p2.A4F06BH.var_report.xml,,,,,,,,,08/20/2013,,,,,,,,,,,,,,,,,,,
,./data/phs000244.v1.pht001519.v1.p1.Miller_Syndrome_Exome_Subject.var_report_2010_07_14.xml,,,,,,,,,07/14/2010,,,,,,,,,,,,,,,,,,,
70,./data/phs001561.v1.pht010995.v1.p1.CCGO_Subject.var_report.xml,70,,67.5,,75,70,,,2021/03/31,75,,65,,,67.5,,,65,,0,,65,,4.95,,,,0
,./data/phs001054.v1.pht005279.v1.p1.Angiocentric_Glioma_Sample_Attributes.var_report.xml,,,,,,,,,03/01/2016,,,,,,,,,,,,,,,,,,,
,./data/phs000285.v3.pht001660.v2.p2.C1F09MHB.var_report.xml,,,,,,,,,08/20/2013,,,,,,,,,,,,,,,,,,,
,./data/phs000285.v3.pht001596.v2.p2.B2F02.var_report.xml,,,,,,,,,08/20/2013,,,,,,,,,,,,,,,,,,,
23,./data/phs001743.v1.pht008921.v1.p1.Urothelial_Cancer_Subject.var_report.xml,,,,,,,,,2019/03/28,29,,,,,,,,,,,,3,,,,,,0
,./data/phs001321.v1.pht006197.v1.p1.OncoArray_CIMBA_Subject_Phenotypes.var_report.xml,,,,,,,,,2017/08/25,9323,,,,,,,,,,,,9323,,,,,,0
680,./data/phs001621.v1.pht008154.v1.p1.Platinum_Study_Subject_Phenotypes.var_report.xml,,,,,680,680,,,2018/12/10,680,,,,,,,,,,0,,,,,,,,0
