,n,male,female,unknown,date,filename,dataset_id
192,2.0,0,2,0.0,2020/04/27,./data/phs002021.v1.pht010158.v1.p1.SCT_GVHD_Sample.var_report.xml,pht010158.v1
193,54.0,7,14,33.0,2021/02/04,./data/phs001748.v1.pht008575.v1.p1.Histiocytic_Sarcomas_Sample.var_report.xml,pht008575.v1
195,178.0,73,105,0.0,03/28/2016,./data/phs001009.v1.pht005352.v1.p1.RBEL_Asthma_Determinants_Subject_Phenotypes.var_report.xml,pht005352.v1
196,5.0,0,0,5.0,09/14/2015,./data/phs000828.v1.pht004329.v1.p1.Fibrolamellar_HCC_Genomic_Analysis_Sample_Attributes.var_report.xml,pht004329.v1
197,8005.0,4063,3942,0.0,08/20/2015,./data/phs000910.v1.pht004726.v1.p1.T1DGC_CNV_Pedigree.var_report.xml,pht004726.v1
198,117.0,64,53,0.0,2020/06/30,./data/phs002049.v1.pht010297.v1.p1.Myeloid_Malignancies_Subject_Phenotypes.var_report.xml,pht010297.v1
200,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000445.v2.p3.simphen046.var_report.xml,pht000445.v2
202,972.0,546,426,0.0,10/27/2014,./data/phs000726.v1.pht003778.v1.p1.Myasthenia_Gravis_Sample.var_report.xml,pht003778.v1
204,21.0,8,13,0.0,2020/09/18,./data/phs001182.v2.pht005720.v2.p1.Somatic_Mutation_Load_Clone_Cells_Subject.var_report.xml,pht005720.v2
207,15.0,6,9,0.0,2021/09/28,./data/phs002001.v1.pht010096.v1.p1.Osimertinib_EGFR_LC_Subject.var_report.xml,pht010096.v1
208,11703.0,6,6456,5241.0,2020/06/18,./data/phs000280.v7.pht004139.v2.p1.NUTV3.var_report.xml,pht004139.v2
211,2057.0,925,960,172.0,2020/12/18,./data/phs002059.v1.pht010421.v1.p1.CIDR_CHD_Subject.var_report.xml,pht010421.v1
213,4793.0,469,583,3741.0,2020/02/04,./data/phs001723.v1.pht009725.v1.p1.IBDGC_Repo_EC_Subject.var_report.xml,pht009725.v1
214,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000400.v2.p3.simphen001.var_report.xml,pht000400.v2
215,977.0,633,344,0.0,05/24/2012,./data/phs000394.v1.pht002653.v1.p1.APDGC_Subject_Phenotypes.var_report.xml,pht002653.v1
216,4455.0,2110,2345,0.0,11/05/2014,./data/phs000209.v13.pht003091.v3.p3.MESA_Exam5Main.var_report.xml,pht003091.v3
218,2686.0,1273,1411,2.0,2020/06/30,./data/phs001972.v1.pht009844.v1.p1.REDS_BSCDC_Sample_Attributes.var_report.xml,pht009844.v1
219,66.0,38,27,1.0,2020/10/21,./data/phs002067.v1.pht010408.v1.p1.TLE_Subject.var_report.xml,pht010408.v1
220,137480.0,6,4,137470.0,2021/06/03,./data/phs001961.v1.pht011030.v1.p1.LungMAP_Sample_Attributes.var_report.xml,pht011030.v1
221,87.0,45,42,0.0,03/23/2015,./data/phs000866.v1.pht004622.v1.p1.Bipolar_Disorder_Family_Genomics_Sample_Attributes.var_report.xml,pht004622.v1
222,11.0,0,11,0.0,2021/05/11,./data/phs002340.v1.pht010938.v1.p1.scAtlas_Gynecological_Malignancies_Subject_Phenotypes.var_report.xml,pht010938.v1
223,128.0,0,0,128.0,2020/09/30,./data/phs001951.v1.pht009784.v1.p1.Relapsed_ALL_Sample_Attributes.var_report.xml,pht009784.v1
225,10.0,4,6,0.0,08/20/2014,./data/phs000777.v1.pht003975.v1.p1.FSGS_CKD_Sample_Attributes.var_report.xml,pht003975.v1
226,982.0,199,783,0.0,01/13/2012,./data/phs000380.v1.pht002458.v1.p1.EMERGE_GWASOM_Phenotype.var_report.xml,pht002458.v1
228,20.0,12,8,0.0,04/14/2014,./data/phs000732.v1.pht003800.v1.p1.L1_Retrotransposon_Asian_Sample.var_report.xml,pht003800.v1
232,80.0,0,0,80.0,2020/07/29,./data/phs002007.v1.pht010434.v1.p1.Innate_Tcells_GEO.var_report.xml,pht010434.v1
233,905.0,573,34,298.0,2020/01/07,./data/phs001741.v1.pht009165.v1.p1.CCDG_TASC_Subject_Phenotypes.var_report.xml,pht009165.v1
234,552.0,0,122,430.0,2019/11/14,./data/phs001865.v1.pht009610.v1.p1.AAMP_Sample.var_report.xml,pht009610.v1
235,14940.0,6784,8156,0.0,2020/06/18,./data/phs000280.v7.pht004029.v2.p1.ABI44.var_report.xml,pht004029.v2
237,50.0,32,0,18.0,2021/01/07,./data/phs002083.v1.pht010655.v1.p1.TS_ccRCC_Sample.var_report.xml,pht010655.v1
238,57.0,3,0,54.0,10/15/2015,./data/phs000870.v1.pht004548.v1.p1.Alternative_Splicing_Sample.var_report.xml,pht004548.v1
239,5188.0,814,724,3650.0,2017/12/07,./data/phs001312.v1.pht007201.v1.p1.POAAGG_Subject_Phenotypes.var_report.xml,pht007201.v1
240,40.0,22,18,0.0,2021/06/16,./data/phs002088.v2.pht010649.v1.p1.LINCS_DToxS_Subject.var_report.xml,pht010649.v1
241,137.0,17,19,101.0,2019/08/01,./data/phs001786.v1.pht008839.v1.p1.SU2C_GEMM_Sample_Attributes.var_report.xml,pht008839.v1
243,58.0,0,14,44.0,2019/10/30,./data/phs001907.v1.pht009582.v1.p1.CPTAC_MiProt_Sample.var_report.xml,pht009582.v1
245,899.0,91,90,718.0,2018/08/13,./data/phs001247.v1.pht008296.v1.p1.GMKF_CCDD_Subject.var_report.xml,pht008296.v1
247,45.0,0,0,45.0,2020/09/30,./data/phs001951.v1.pht009782.v1.p1.Relapsed_ALL_Subject.var_report.xml,pht009782.v1
248,94.0,94,0,0.0,01/15/2016,./data/phs000909.v1.pht005250.v1.p1.NEPC_Subject_Phenotypes.var_report.xml,pht005250.v1
251,0.0,0,0,0.0,2017/10/19,./data/phs001288.v1.pht006769.v1.p1.final_status.var_report.xml,pht006769.v1
252,1093.0,575,512,6.0,2018/08/18,./data/phs001475.v1.pht007583.v1.p1.Infection_Malnutrition_Bangladesh_Sample.var_report.xml,pht007583.v1
256,9101.0,990,710,7401.0,2018/05/18,./data/phs001315.v1.pht006192.v1.p1.CIDR_GECCO_Colorectal_Cancer_GxE_Sample.var_report.xml,pht006192.v1
259,683.0,121,81,481.0,2021/10/04,./data/phs002238.v1.pht011522.v1.p1.Beat_Childhood_Cancer_Sample_Attributes.var_report.xml,pht011522.v1
261,33.0,7,8,18.0,08/04/2014,./data/phs000776.v1.pht003950.v1.p1.MCCD_Sample_Attributes.var_report.xml,pht003950.v1
262,190.0,161,29,0.0,2018/03/20,./data/phs001559.v1.pht007663.v1.p1.Oxycodone_Abuse_Subject_Phenotypes.var_report.xml,pht007663.v1
270,5467.0,2720,2747,0.0,2021/06/10,./data/phs001387.v3.pht008968.v2.p1.TOPMed_WGS_THRV_Pedigree.var_report.xml,pht008968.v2
271,38.0,15,23,0.0,2017/12/08,./data/phs001279.v1.pht007207.v1.p1.demographics_and_referral.var_report.xml,pht007207.v1
272,2.0,0,0,2.0,11/18/2014,./data/phs000825.v1.pht004351.v1.p1.HUES64_HUES63_Sequencing_Sample.var_report.xml,pht004351.v1
273,4.0,0,4,0.0,2018/05/03,./data/phs001264.v1.pht007899.v1.p1.CD47_Breast_Cancer_Subject.var_report.xml,pht007899.v1
278,13530.0,6120,7410,0.0,2020/06/18,./data/phs000280.v7.pht004062.v2.p1.DERIVE2_10.var_report.xml,pht004062.v2
280,19.0,11,8,0.0,2021/08/26,./data/phs001729.v2.pht010128.v1.p1.TOPMed_WGS_CARE_CLIC_Subject_Phenotypes.var_report.xml,pht010128.v1
283,647.0,260,387,0.0,2017/09/22,./data/phs001394.v1.pht006949.v1.p1.GUARDIAN_HTN_IR_Subject_Phenotypes.var_report.xml,pht006949.v1
286,51.0,3,3,45.0,05/26/2016,./data/phs001107.v1.pht005489.v1.p1.VHL_Renal_Tumors_Sample.var_report.xml,pht005489.v1
288,64.0,49,0,15.0,2018/10/22,./data/phs001666.v1.pht008467.v1.p1.Alisertib_PC_Sample_Attributes.var_report.xml,pht008467.v1
292,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000527.v2.p3.simphen128.var_report.xml,pht000527.v2
293,41.0,19,22,0.0,2019/08/18,./data/phs001201.v2.pht007559.v1.p1.Microbiome.var_report.xml,pht007559.v1
294,150.0,71,79,0.0,2019/10/11,./data/phs001406.v1.pht007743.v1.p1.acute_topiramate_surveyds.var_report.xml,pht007743.v1
296,5499.0,6,8,5485.0,2020/06/18,./data/phs000280.v7.pht006426.v1.p1.CES.var_report.xml,pht006426.v1
297,965.0,85,90,790.0,2018/03/09,./data/phs001554.v1.pht007608.v1.p1.GECCO_CRC_Susceptibility_Sample.var_report.xml,pht007608.v1
302,768.0,612,84,72.0,2019/03/11,./data/phs000286.v6.pht008779.v1.p2.rdfa.var_report.xml,pht008779.v1
304,15.0,0,15,0.0,2020/07/10,./data/phs000723.v1.pht005212.v1.p1.Cervical_Adenocarcinoma_Chinese_Subject_Phenotypes.var_report.xml,pht005212.v1
306,98.0,62,9,27.0,2019/03/11,./data/phs000286.v6.pht008726.v1.p2.allevtchd.var_report.xml,pht008726.v1
307,34.0,0,34,0.0,2018/08/13,./data/phs001535.v1.pht008292.v1.p1.DDP_Subject.var_report.xml,pht008292.v1
308,9.0,4,5,0.0,08/09/2013,./data/phs000636.v1.pht003426.v1.p1.Familial_Intracranial_Aneurysm_Sequence_Pedigree.var_report.xml,pht003426.v1
309,12054.0,6,6623,5425.0,2020/06/18,./data/phs000280.v7.pht004123.v2.p1.LIPC04.var_report.xml,pht004123.v2
311,849.0,242,607,0.0,2021/10/19,./data/phs002632.v1.pht011607.v1.p1.AA_KRT82_Subject_Phenotypes.var_report.xml,pht011607.v1
313,10.0,0,10,0.0,2018/10/24,./data/phs001695.v1.pht008498.v1.p1.UCSF_CRH_Subject_Phenotypes.var_report.xml,pht008498.v1
317,59.0,59,0,0.0,2017/09/06,./data/phs000554.v1.pht003194.v1.p1.CRPC_Subject.var_report.xml,pht003194.v1
321,20.0,9,11,0.0,02/23/2016,./data/phs001038.v1.pht005207.v1.p1.Melanoma_DNMTi_Immunotherapy_Sample.var_report.xml,pht005207.v1
324,82.0,82,0,0.0,2019/05/15,./data/phs001825.v1.pht009047.v1.p1.5UTR_Mutations_PC_Subject.var_report.xml,pht009047.v1
325,1441.0,761,680,0.0,11/04/2014,./data/phs000086.v3.pht000212.v1.p1.DCCT_ms7exf10.var_report.xml,pht000212.v1
326,51.0,36,15,0.0,2018/07/18,./data/phs001651.v1.pht008235.v1.p1.Lung_SQCC_AppKY_Subject_Phenotypes.var_report.xml,pht008235.v1
327,22.0,2,1,19.0,2021/03/30,./data/phs002146.v1.pht011086.v1.p1.Chromatin_Transcriptional_Regulation_Sample_Attributes.var_report.xml,pht011086.v1
329,10.0,2,8,0.0,2018/12/31,./data/phs001758.v1.pht008608.v1.p1.FNMTC_Subject.var_report.xml,pht008608.v1
330,26.0,7,2,17.0,08/21/2015,./data/phs000830.v1.pht004923.v1.p1.cSCC_XPC_Mutation_Rates_Sample_Attributes.var_report.xml,pht004923.v1
332,10.0,4,6,0.0,08/20/2014,./data/phs000777.v1.pht003973.v1.p1.FSGS_CKD_Sample.var_report.xml,pht003973.v1
333,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000478.v2.p3.simphen079.var_report.xml,pht000478.v2
334,3.0,0,0,3.0,07/21/2015,./data/phs000938.v1.pht004785.v1.p1.WES_HybCapture_vs_Amplicon_Subject_Phenotypes.var_report.xml,pht004785.v1
335,5.0,0,0,5.0,2020/11/27,./data/phs002237.v1.pht010694.v1.p1.MMBIR_CGR_Sample_Attributes.var_report.xml,pht010694.v1
336,211.0,67,33,111.0,2018/04/20,./data/phs001556.v1.pht007846.v1.p1.BRAINcode_Sample_Attributes.var_report.xml,pht007846.v1
337,79.0,7,30,42.0,2019/06/11,./data/phs001807.v1.pht008978.v1.p1.InTEAM_RNAseq_Subject_Phenotypes.var_report.xml,pht008978.v1
338,680.0,124,2,554.0,01/19/2010,./data/phs000219.v1.pht001059.v1.p1.d_care_info.var_report_2010_01_19.xml,pht001059.v1
339,5.0,4,1,0.0,09/29/2014,./data/phs000797.v1.pht004269.v1.p1.CTLA4_Haploinsufficiency_Subject_Phenotypes.var_report.xml,pht004269.v1
340,268.0,20,11,237.0,2017/08/02,./data/phs001384.v1.pht006742.v1.p1.Polyp_To_Cancer_Sample_Attributes.var_report.xml,pht006742.v1
341,2938.0,48,35,2855.0,2017/12/29,./data/phs001347.v2.pht006797.v2.p1.PRISM_Sample_Attributes.var_report.xml,pht006797.v2
342,12.0,0,12,0.0,2020/08/19,./data/phs002075.v1.pht010459.v1.p1.Chorioamniotic_Membranes_Subject_Phenotypes.var_report.xml,pht010459.v1
349,4101.0,771,656,2674.0,03/24/2015,./data/phs000196.v3.pht004623.v1.p1.NGRC_Sample_Attributes.var_report.xml,pht004623.v1
351,171.0,46,125,0.0,2020/06/25,./data/phs001779.v1.pht010205.v1.p1.CIDR_NIA_Ehlers_Danlos_Pedigree.var_report.xml,pht010205.v1
352,600.0,277,323,0.0,2019/07/29,./data/phs001855.v1.pht009248.v1.p1.STRRIDE_Sample.var_report.xml,pht009248.v1
355,1030.0,459,571,0.0,2020/06/18,./data/phs000280.v7.pht004159.v2.p1.RIPB02.var_report.xml,pht004159.v2
